<1>	Buhay ay mahaba sa piling ng Krystall	life is longer with Krystall's presence
<2>	Dear Sis. Fely,	dear Sister Fely,
<3>	Magandang araw po sa inyo at sumasainyo nawa ang kapayapaan na galing sa Diyos.	good day to you and may the peace of God be with you.
<4>	Patuloy kayong bigyan ng long life, good health pati na ang inyong buong pamilya.	continue to give you a long life, good health as well as your whole family.
<5>	Ang ibabahagi ko po sa inyo ay tungkol sa Krystall Herbal Oil, Krystall Yellow Tablet at nitong mga nakaraan na buwan.	what I am sharing to you is about Krystall Herbal Oil, Krystall Yellow Tablet and these past few months.
<6>	Ang isang anak ay umuwi at hawak-hawak niya ang tiyan niya na nagsusuka siya at nagtatae.	a child comes home, clutching her stomach, vomiting and having a loose bowel movement.
<7>	Ang ginawa ko po ay pinainom ko po siya ng Krystall Nature Herbs, Krystall Yellow Tablet at pagkatapos po niyang uminom nagsuka siya, at nawala po ang sakit ng kanyang sikmura.	what I did was to let her drink Krystall Nature Herbs, Krystall Yellow Tablet and after she drank, she vomited, the her stomach ache was gone.
<8>	Ilang inuman lamang ng Krystall Nature Herbs at Krystall Yellow Tablet, awa ng Diyos iyon lamang po ang ginamot ko sa kanya nakatipid kami.	just few drinks of Krystall Nature Herbs and Krystall Yellow Tablet, with the mercy of God, I have treated her with those, and we saved money.
<9>	Pangalawang patotoo, ang isang anak ko tinubuan ng butlig tapos namumula hanggang naging parang pigsa, pinahiran ko ng Krystall Oil tapos binudburan ko ng durog na Krystall Yellow Tablet, sa awa po ng Diyos natuyo po.	second evidence, a cyst had grown in one of my children and it reddened until it bubbled up, I applied Krystall Oil then sprinkled with crushed Krystall Yellow Tablet, with the mercy of God, it dried.
<10>	Ganoon din ako.	same as me.
<11>	Noong anniversary natin sa El Shaddai, umaga ng Lunes paghakbang ko sa pintuan namin sa labas ‘di po ako nakatinigin sa paghakbang ko, nakaapak po ako ng bato na bilog na maliit at ako ay nadulas/nadapa at ang tuhod ko ay nagkasugat.	during our anniversary in El Shaddai, Monday morning, when I stepped outside the door, I had not watch my step, I stepped on a round small stone and I slipped, and my knee was wounded.
<12>	Nilagyan ko ng Krystall Oil at Krystall Yellow Tablet at ito ay natuyo.	I applied Krystall Oil and Krystall Yellow Tablet and it dried up.
<13>	Salamat sa Krystall products, sa ngayon ako ay 70 years old na.	thank you to Krystall products, and now, I am 70 years old.
