<1>	2 sundalo ng 31st IB, sugatan sa operasyong partisano ng BHB	2 soldiers of the 31st IB, wounded in partisan operations of BHB
<2>	Ka Samuel Guerrero	Comrade Samuel Guerrero
<3>	Celso Minguez Command - NPA-Sorsogon	Celso Minguez Command - NPA-Sorsogon
<4>	Oktubre 3, 2013	October 3, 2013
<5>	DALAWANG sundalo ng 31st IB ng Philippine Army ang nasugatan sa operasyong partisano ng Bagong Hukbong Bayan sa Barangay Timbayog, Casiguran, Sorsogon nitong Oktubre 1. Inabangan ng mga operatiba ng BHB sina Cpl. Raymund Recania at PFC Arnel Divinagracia na noo’y nakikipagsabong sa lumang sabungan ng Casiguran.	two soldiers of the 31st IB of the Philippine Army were wounded in partisan operations of the new national army in Barangay Timbayog, Casiguran, Sorsogon this October 1. the operatives of BHB awaited Corporal Raymund Recania and PFC Aarnel Divinagracia who were then cockfighting in the old cockpit of Casiguran.
<6>	Malapitang binaril ng mga Pulang mandirigma ang dalawa habang pasakay sa kanilang motorsiklo matapos ang sabong.	the two were shot in close range by the red warriors while they were about to board their motorcycle after the cockfight.
<7>	Hindi na nakabunot ng baril ang dalawang sugatang sundalo.	the wounded soldiers were no longer able to draw a gun.
<8>	Nagtatakbo sila habang hinahabol ng putok ng mga operatibang partisano.	they ran while being chased by fire of the partisan operations.
<9>	Ikinalulungkot namin na nasugatan din sa pangyayari ang sibilyang si Policarpio Balase na sa kalituhan marahil ay lumapit sa isa sa mga sundalong nabuwal sa daan habang nagpapaputok ang mga partisano.	we are sad that a civilian Policarpio Balase was also wounded in the incident who in possible confusion went near to one of the soldiers who fell on the road while the partisans were firing.
<10>	Bago umatras ang mga mandirigma, inalalayan nila si Balase hanggang makakuha siya ng sasakyan paalis sa lugar.	before the warriors retreated, they offered Balase until he was able to get a vehicle away from the place.
<11>	Sa ngayon ay sinisikap ng Celso Minguez Command (CMC) ng BHB na umugnay sa kanya para pormal na makahingi ng dispensa at masagot ang gastos sa kanyang pagpapagamot.	for now, the Celso Minguez Command (CMC) of BHB is striving to get in touch with him to formally apologize and to reimburse his medical expenses.
<12>	Samantala, nananatili ang direktiba ng CMC sa nasasakupang mga yunit ng BHB na ituluy-tuloy ang ganitong mga aksyon upang bulabugin ang mga reaksyunaryong tropa nang sa gayo’y hindi sila makabwelo sa kanilang mga operasyon.	meanwhile, the directive of CMC remains in the occupied units of BHB to continue these actions in order to disturb the reactive troops so they will not be able to advance on their operations.
