<1>	(0.000-1.405)	kinig magandang po sa inyong lahat .	listen good to all of you .
<2>	(1.405-1.935)	oho .	yes .
<3>	(1.935-4.080)	unahin po natin yung sa Sulu .	let us start with Sulu .
<4>	(4.080-10.984)	paano ho nangyari na lima ang namatay sa inyong hanay at pinugutan daw po ng ulo itong mga sundalo .	how did it happen that five died in your ranks and these soldiers were said to be beheaded .
<5>	(10.984-11.846)	ano ho ito ?	what is this ?
<6>	(11.846-15.520)	ambush o may <hes> bakbakan na ho ?	ambush or is there already a clash ?
<7>	(15.520-50.320)	<hes> i-clarify ko lang na hindi pa naman confirmed yung <hes> may napugutan ng ulo <hes> isang series of encounters ang nangyari at for the first time natumbok ng <hes> Joint Task Group Sulu ang pinaka-main group ng <hes> mga bandidong Abu Sayyaf na kung saan bandang <hes> alas a- -- ala-una singkuwenta kaninang hapon ay <hes> naka <hes> -- nakaengkuwentro ng <hes> thirty second <hes> infantry battalion ang <hes> grupo ng <hes> ni itong grupo Radoland Sahiron at ng apat pang mga sub leaders nito .	let me clarify that it is not yet confirmed that there was a beheading a series of encounters happened and for the first time the Joint Task Group Sulu pinpointed the main group of the Abu Sayyaf fugitives wherein around -- one fifty earlier this afternoon the thirty second infantry battalion had -- an encounter with the group of this group of Radoland Sahiron and four more of its sub leaders .
<8>	(50.320-64.010)	<hes> ito ay diyan sa Talipao Sulu sa paligid ito ng <hes> Mount Sinamaan at <hes> <hes> nagkaroon ito ng <hes> reinforcement at ito ay ang grupo ng first scout ranger battalion na pinamunuan naman ni lieutenant colonel Boqio .	this is there in Talipao Sulu this is around Mount Sinamaan and it had reinforcement and this is the group of the first scout ranger battalion led by Lieutenant Colonel Boqio .
<9>	(64.010-76.438)	at <hes> another series of encounters ang nangyayari na kung saan ito ay <hes> umabot ng <hes> halos limang oras at <hes> sa naturang engkuwentro ay namatay ang <hes> siyam sa mga bandido .	and another series of encounters is happening wherein this reached almost five hours and in the said encounter five of the fugitives died .
<10>	(76.438-87.020)	ito ay ang confirmed <hes> kills ay siyam sa kanila kasama ang <hes> <hes> mataas na leader na kung taw- -- atung ang pangalan nito ay si hays- -- Hairez Lora Hasbang .	this it the confirmed kills five of them together with the high leader who is -- and his name is -- Hairez Lora Hasbang .
<11>	(87.020-97.640)	at <hes> <hes> kasama rin sa nasawi ang <hes> <hes> itong <hes> pinakabayaw ni Radoland Sahiron <hes> at <hes> pito pang <hes> ibang mga kasamahan .	and included in those who died is this brother-in-law of Radoland Sahiron and seven more other comrades .
<12>	(97.640-110.219)	at <hes> na-monitor din sa ating <hes> mga <hes> mga impormante do'n sa lugar na humigit-kumulang sa treinta ang wounded <hes> dito sa hanay ng mga bandido .	and it has been also monitored in our the what is important there in the place that approximately thirty are wounded here in the ranks of the fugitives .
<13>	(110.219-125.723)	at <hes> sa ngayon ay <hes> tuloy-tuloy pa yung <hes> <hes> deployment ng <hes> additional troops doon sa area <hes> upang i-block itong <hes> possible escape routes ng <hes> ating <hes> mga at <hes> ilang <hes> mga nakalaban ng mga bandito .	and as of now the deployment of additional troops there in the are is still continuous to block these possible escape routes of our and some fought by the fugitives .
<14>	(125.723-142.934)	at <hes> ayon kay <hes> colonel <hes> Alan Arrojado ang pinuno ng Joint Task Group Sulu ay <hes> <hes> tuloy-tuloy ang <hes> gagawin nilang <hes> pagtugis dito sa mga bandidong grupo kahit pa man sa nangyari na merong nagbuwis ng buhay sa hanay ng ating mga kasundaluhan .	and according to Colonel Alan Arrojado the leader of the Joint Task Group Sulu their pursuit of these fugitive groups will be continuous despite the incident where someone risked his life in the ranks of our army .
<15>	(142.934-151.590)	mhm colonel Kabunok <hes> parang recently lang mayroon din hong nangyaring <hes> engkuwentro ano ho sa Sulu -- s- -- sa Sulu rin ho .	yes Colonel Kabunok it seems like just recently there is also an encounter that happened um in Sulu -- in Sulu too .
<16>	(151.590-157.338)	<hes> for the longest time bago ho itong mga insidenteng ito parang nanahimik ang Abu Sayyaf .	for the longest time before these incidents it seems like the Abu Sayyaf were silent .
