<1>	Mga estudyante ng UP, nakaranas muli ng panghaharas ng militar	UP students experienced military harassment again
<2>	by Pher Pasion	by Pher Pasion
<3>	January 29, 2012	January 29, 2012
<4>	Press conference ng iba't ibang sektor ng UP para kondenahin ang panghaharas ng militar sa mga estudyante ng pamantasan. (Pher Pasion)	press conference of the different UP sectors to condemn the harassment of the military to the students of the university. (Pher Pasion)
<5>	Muling nagulantang ang komunidad ng Unibersidad ng Pilipinas sa Diliman, Quezon City sa bagong kaso ng paglabag sa karapatang pantao sa tatlong mag-aaral nito sa kamay ng pinaghihinalaang mga militar sa Porac, Pampanga nitong ika-21 ng Enero.	the community of the University of the Philippines in Diliman, Quezon City are shocked again in a new case of violation of human rights towards its three students in the hands of the suspected military in Porac, Pampanga this 21st of January.
<6>	Sa press conference na ginanap sa Quezon Hall ng UP Diliman, isinalaysay ni Rafael Antonio Dulce ang kanilang karanasan sa kamay ng hinihinalang mga miyembro ng militar nang sila’y interogahin nang masalubong sila sa kanilang paglalakad patungo sa Barangay Kamias.	in a press conference held at Quezon Hall in UP Diliman, Rafael Antonio Dulce narrated their experience in the hands of the suspected members of the military when they are interrogated when they met them while walking towards Barangay Kamias.
<7>	Si Dulce at ang tatlo pa niyang kasamahan ay pawang mag-aaral sa College of Social Work and Community Development.	Dulce and her three colleagues are all students of the College of Social Work and Community Development.
<8>	Nasa field work sila noon bilang rekisito sa kanilang kinukuhang kurso noon pang Hulyo at Disyembre noong nakaraang taon sa komunidad ng mga Aeta sa Brgy.	they were on a field work as a requisite of the course they have been taking since July and December last year in the community of Aeta in Barangay
<9>	Planas Porac, Pampanga.	Planas Porac, Pampanga.
<10>	“Inisip ko na noon na iyon na ang katapusan namin.	"I was thinking then that it was our end.
<11>	Naramdaman ko talaga na napaka-hopeless na wala kang magawa kahit na gusto mong lumaban.	I really felt hopeless that you could not do anything even if you wanted to fight.
<12>	Walang epekto kahit na sabihin o makipagdebate ka pa tungkol sa iyong karapatang pantao,” kuwento ni Dulce sa Pinoy Weekly.	no effect even if you tell or debate about our human rights," Dulce narrated in Pinoy Weekly.
<13>	Sinabi pa ni Dulce na marami na siyang nabasa at narinig na kuwento pero iba pa rin umano ang pakiramdam noong siya na ang nandoon sa sitwasyong iyon.	Dulce also said that she had read and heard a lot of stories but it was really a different feeling when she was in that situation.
<14>	Ayon kay Dulce, sinita sila ng tatlong di-unipormadong lalaki na nagpakilala bilang mga kawani ng Department of Public Works and Highways Region 3 sa pagpunta nila sa Brgy. Kamias katanghalian noong ika-21 ng Enero.	according to Dulce, they were interrogated by three men without uniform who introduced themselves as members of the Department of Public Works and Highways Region 3 about their visit to Barangay Kamias, noon of the 21st of January.
<15>	Ininteroga sila ng nagpakilalang Paul at sa bandang huli sinabihan sila na mga miyembro raw sila ng rebeldeng New People’s Army.	they were interrogated by someone introduced as Paul and later, they were told that they were members of the rebel New People's Army.
<16>	Kahit na anong paliwang nila ay ibinilad sila sa init ng araw ng mahigit isang oras.	no matter how they tried to explain, they were put under the sun for more than an hour.
<17>	Si Dulce naman ay hinamon ng suntukan ng isa at itinulak-tulak hanggang sa dulo ng bangin.	Dulce was challenged to a boxing by one of them and was tried to be pushed to the edge of the cliff.
<18>	Kinunan pa sila ng litrato sa cellphone at tinangkang kunin ang bag ni Dulce.	their pictures were taken through a cellphone and tried to take Dulce's bag.
<19>	“Bumigay na ‘yung isang kasama ko sa sobrang takot at humagulgol ng iyak.	"my one colleague surrendered due to extreme fear and howled in crying.
<20>	Tinangka kong mag-text doon sa isang kasama namin na naiwan sa barangay tungkol sa nangyari sa amin pero tinulak na ako hanggang sa bangin.	I tried to send a text message to one of our companions who was left in the barangay about what happened to us but I was pushed towards the cliff.
<21>	‘Yung mga nagdaraan binantaan din na umalis na sila kung ayaw nilang madamay,” salaysay ni Dulce.	"those who were passing by were threatened to leave if they did not want to be implicated," Dulce narrated.
<22>	Tugon ng UP	UP's response
<23>	Ikinalarma naman ng komunidad ng UP ang pangyayaring ito.	this incident alarms the UP community.
<24>	Habang patuloy pa rin ang paghahanap sa dalawang UP students na sina Karen Empeno at Sherlyn Cadapan, panibagong atake na naman nakaranasan ng mga mag-aaral ng UP.	while the search continues for the two UP students Karen Empeno and Sherlyn Cadapan, a new attack is experienced by the UP students.
<25>	Sina Karen at She ay pinaniniwalaang dinukot ng mga elemento ng militar sa Bulacan at hindi pa nakikita sa kasalukuyan kung saan pangunahing suspek na si Ret. Major Gen. Jovito Palparan na kasalukuyang pinaghahanap ng batas.	Karen and She were believed to have been abducted by military elements in Bulacan and are not yet found at the moment, where the primary suspect is Retired Major General Jovito Palparan who is currently being hunted by law enforcers.
<26>	“Hindi natin hahayaan na mapalampas na lamang ang ganitong pangyayari.	"we should not allow that this kind of incident will just pass through.
<27>	Kailangang imbestigahan ito at mapanagot ang mga may pagkakasala,” ayon kay Alfredo Pascual, presidente ng UP, sa panayam ng Pinoy Weekly.	this should be investigated and those who have done wrong should be held accountable," according to Alfredo Pascual, President of UP, in the interview by Pinoy Weekly.
<28>	UP Pres. Alfredo Pascual at Anton Dulce, isa sa mga estudyante na hinaras ng militar sa Pampanga. (Pher Pasion)	UP President Alfredo Pascual and Anton Dulce, one of the students harassed by the military in Pampanga. (Pher Pasion)
<29>	Sinabi ni Pascual na kailangang respetuhin ng mga nasa awtoridad ang karapatang pantao.	Pascual said that those who are in authority need to respect human rights.
<30>	Suportado ito ng komunidad ng UP kung sino man ang mapatunayang nagkasala sa insidenteng ito aniya.	this is supported by the UP community to whoever will be proven guilty of this incident, he said.
<31>	Ayon naman kay Mykel Andrada, propesor sa UP at presidente ng All-UP Academic Employees’ Union, nagiging iba na ang tingin sa mga taga-UP kung saan hindi na halos ineenganyo ang mga mag-aaral sa Unibersidad dahil sa mga insidenteng tulad nito.	according to Mykel Andrada, UP professor and president of All-UP Academic Employees' Union, the perspective of UP has been changing where the students of the university are almost not enticed because of incidents like this.
<32>	Ayon kay Dulce, maaring hindi nagkataon ang nangyari sapagkat ilang buwan na silang naroroon at maraming Citizen Armed Forces Geographical Units o CAFGUs sa komunidad na kanilang tinutuluyan at sila ay minamanmanan sa dahilan sila ay taga-UP.	according to Dulce, the incident might not be a fate because in the few months that they are there, and there are a lot of Citizen Armed Forces Geographical Units or CAFGUs in the community that they are visiting and they are observed because they are from UP.
<33>	Nakakaalarma ayon kay Andrada, sapagkat lehitimong bahagi ng kurikulum ng mga kurso ang pagpunta sa kanayunan para maisapraktika ng mga mag-aaral ang kanilang natutunan.	alarming, according to Andrada, because their visit to the villages is a legitimate part of the curriculum of their course for the students to practice their learning.
