<1>	5 secrets in getting a slot for Army enlistment	5 secrets in getting a slot for army enlistment.
<2>	Di nauubos ang mga tanong at pati mga guni-guni ng mga interesadong kabataan paano ba talaga papasa sa taunang selection process para sa Army recruitment.	the questions and even the musings of the interested youth are never-ending. how can one truly pass the yearly selection process for the army recruitment?
<3>	Binabaha ang aking inbox ng request ng tulong at maging reklamo dahil sa akusasyon na 'bata-bata' system daw ang pagpili sa iilang mga aplikante para maging sundalo.	my inbox is flooded with requests for help and even complaints because of accusations that the selection of some applicants in becoming soldiers has a "sponsorship" system.
<4>	Kaysa maubos ang oras ko sa pagtatanggol sa kung sino man iyong damuho na inaakusahang nagre-recruit ng mga aplikanteng hindi pasado o kwalipikado, hayaan nyo na lang akong bigyan kayo ng tip paano tumaas ang inyong tsansa na mapili bilang mandirigma ng ating bayan.	instead of wasting my time in defending whoever brute is being accused of recruiting applicants that did not pass or qualify, just let me give you a tip on how to increase your chance in getting chosen as a warrior of our country.
<5>	Ang basehan ko sa mga ideya paano piliin ang ating mga mandirigma ay ang mga nakasaad sa Army policies, common sense, at ang tunay na pangangailangan sa line units ayon sa aking personal na karanasan bilang 'manager' ng mga sundalo.	my basis for ideas on how our warriors are chosen are stated in the army policies, common sense and the actual need in line units according to my personal experience as a "manager" of soldiers.
<6>	So, para sa mga interesado, ilahad ko na sa inyo ang mga sikreto para makapasa na kayo sa susunod na quota ng enlistment.	so, for those who are interested, I will tell you the secrets so you can already pass in the next quota of enlistment.
<7>	Matinding sikreto ito.	this is a deep secret.
<8>	Fasten your seatbelt at huminga ng malalim.	fasten your seat belt and take a deep breath.
<9>	Djaraaaan!	tada!
<10>	1\. 'Backer'.	1. "backer".
<11>	Pinakaimportante sa lahat ay dapat meron kayong 'backer' na syang susuporta sa inyo para makapasa.	most important of all is you should have a "backer" who would support you in order to pass.
<12>	Sino ba dapat ang backer mo?	who should be your backer?
<13>	Drum rolls, please!	drum rolls, please!
<14>	Eh di ang nag-iisang Diyos!	of course, the one and only God!
<15>	Yes, ang Panginoong Maykapal na syang lumikha sa ating lahat.	yes, the Lord God who created all of us.
<16>	Dapat bigyan ka nya ng lakas ng loob, mabuting pangangatawan at proteksyon mula sa disgrasya.	he should give you courage, a healthy body and protection from harm.
<17>	Kung tatalikuran ka ng iyong 'backer', tigok ka na.	if your "backer" turns his back on you, you're dead.
<18>	2\. Mental preparation.	2. mental preparation.
<19>	Dapat mong paghandaan ang tinatawag na PAATB o entrance exams.	you should prepare for what is called the PAATB or entrance exams.
<20>	Napakadali lang ng exams na ito kung hindi ka namamayabas noong high school.	these exams are very easy if you did not slack off in high school.
<21>	Simpleng English, logical reasoning at mathematics na pang-high school lang naman ang laman ng exam.	simple English, logical reasoning and mathematics that is for high school are the only contents of the exam.
<22>	Kung ikaw ay nasa college level, mas lalong wala ka nang karapatang sabihing napakahirap ng PAATB.	if you are in college level, you have less reason to say that the PAATB is very difficult.
<23>	Sa totoo lang, hindi naman ito maihalintulad sa UPCAT o PMA entrance exams na nose bleed o heart attack aabutin mo kung hindi ka asintado sa pagsagot.	honestly, this cannot be compared to the UPCAT or PMA entrance exams that could give you a nosebleed or heart attack if you are not accurate in answering.
<24>	So, relax lang at simulan ang paghahanda.	so just relax and start with the preparation.
<25>	Basahing muli ang mga aralin sa English at Math.	read the lessons in English and Math again.
<26>	Magpaturo sa isang titser o matalinong high school classmate kung kailangan.	be tutored by a teacher or a smart high school classmate if needed.
<27>	Pwede ka ring sumangguni sa mga Youtube videos na naglipana sa internet.	you can also refer to YouTube videos that are all over the internet.
<28>	3\. Palakasan.	3. getting strong.
<29>	Ito ang isa pang tunay na sikreto, ang palakasan sa Army.	this is another real secret, the nepotism in the army.
<30>	Hoy, baka iba ang nasa isip mong 'palakasan'.	hey, you might be thinking of a different kind of "getting strong".
<31>	Ganito yon, kung desidido ka talagang mag-sundalo, magpalakas ka tsong!	it is like this. if you are really decided to become a soldier, get strong, dude!
<32>	Kailangan mo ang malakas magbuhat, magtulak, malakas na sikmura at maging sa lakaran at takbuhan.	you need to be strong in lifting, pushing, a strong gut and even in walking and running.
<33>	Kung gusto mong maungusan ang lahat sa Physical Fitness Test (PFT) na batayan sa slot, magsimula ka nang mag-takbo, push-up at pull-up mga tatlong buwan bago ang processing.	if you want to outdo everyone in the Physical Fitness Test (PFT), which is a basis for a slot, you should start to run, do push-ups and pull-ups about three months before processing.
<34>	Kung asal batugan ka na panay inom, kain at tulog, sigurado ka nang timbog pagdating sa palakasan.	if you are a sluggard who often drinks, eats and sleeps, you will certainly fail when it comes to health.
<35>	4\. Added value.	4. added value.
<36>	Maliban sa combat duties, maraming support tasks ang ginagawa rin ng mga sundalo para magampanan ng frontline units ang mga misyon nila.	aside from combat duties, there are many support tasks also done by soldiers so that front line units can perform their missions.
<37>	Ihambing mo rin kami sa isang munisipyo na merong employees na driver, karpintero, mekaniko, electrician, computer operator, writer at maging radio broadcaster.	you can also compare us to a municipality which has employees that are drivers, carpenters, mechanics, computer operators, writers and even radio broadcasters.
<38>	Therefore, kung ako ay isang Division Commander ng Army, sinisigurado kong merong highly-skilled soldiers na kasama sa annual quota dahil kailangan sila sa unit.	therefore, if I am a division commander of the army, I make sure that there are highly-skiled soldiers included in the annual quota because they are needed in the unit.
<39>	Kung ikaw ay aplikante na merong ipinagmamalaking special skill, mas malaki ang iyong chance na mapasama sa quota.	if you are an applicant who has a special skill to be proud of, your chance to be included in the quota is greater.
<40>	Tanungin mo sarili mo, anong kaalaman o kakayahan na meron ako na wala ang iba?	ask yourself: what knowledge or ability do I have that others do not?
<41>	5\. Complete, orignal documentary requirements.	5. complete, original documentary requirements.
<42>	Kumuha ng listahan ng requirements at ilagay ito sa folder ayon sa hinihingi ng line unit na pinag-aplayan.	get a list of requirements and put it in a folder according to what the line unit you are applying to is asking for.
