<1>	Reimbensyon ng Diskursong Kolonyal	reinventing the colonial discourse
<2>	Maraming problematiko at kaprote-protesta sa “Restoring US presence,” editoryal ng Philippine Daily Inquirer na lumabas noong 30 Enero.	there are many protestable points against "restoring US presence," an editorial from the Philippine daily inquirer published last January 30.
<3>	Sinang-ayunan at binigyang-katwiran nito ang pagtagal at pagsaklaw, o ang lubusang pagbabalik, ng presensyang militar ng US sa Pilipinas.	it agrees upon and justifies the duration and boundaries, or the complete return, of the US military presence in the Philippines.
<4>	Gumamit ito ng maraming kasuklam-suklam na taktika sa propaganda para ibenta ang nasabing posisyon.	it used may abhorrent propaganda tactics to sell such a position.
<5>	(1) Sinasang-ayunan nito ang paglilihim ng gobyerno ng US at Pilipinas sa nagaganap na negosasyon hinggil sa pagtagal at pagsaklaw ng mga tropa at kagamitang militar ng US sa bansa.	(1) it agrees with the secrecy between the governments of the US and the Philippines with regards to the ongoing negotiation about the duration and boundaries of the troops and the US military equipment in the country.
<6>	Kinatigan nito ang palusot para sa naturang paglilihim: May “mga pampulitikang sensibilidad” daw na makakanti ng “lubusang pagbabalik ng presensyang militar na Amerikano.”	it sided with the excuse for secrecy: there are "political sensibilities" that could justify the "complete restoration of American military presence."
<7>	Mapanganib ang ganitong tindig ng midya, parang panahon ng gera: ipinapailalim ang katotohanan, na alam namang gustong malaman ng mga mamamayan, sa itinuturing na interes sa seguridad.	the media's stance is as dangerous as the time of war: burying the truth, which they know the citizens want to know, in the guise of security interest.
<8>	(2) Tinatawag nitong “lumang emosyunalismo” ang sentimyento kontra sa base-militar ng US sa bansa.	(2) it's calling the sentiment against the US military base in the country "old emotionalism".
<9>	Sa ganito, ibinasura nito ang nasyunalismo na ipinakita ng sambayanan sa paglaban para palayasin ang mga dating base ng US.	this way, it dismissed the nationalism demonstrated by the citizens in the fight to disperse the former US bases.
<10>	Kung babalikan ang debate hinggil dito mahigit 20 taon na ang nakakalipas, makikitang ang mga kontra-base ang may mga batayang rasyunal at hindi emosyunal sa pagpapalayas sa mga base, habang karamihan ng mga sinasabi ng mga tagapagtanggol ng base ay nakaugat at nagpapalakas sa mga kaisipang atrasado at kolonyal.	if we were to revisit the debates regarding the topic for the past 20 years, it can be seen that the parties against the US base are the ones that have rational and non-emotional reasons for the dispersion of the base, while most of the defenders' arguments are rooted and reinforce the backward and colonial ideas.
<11>	(3) Binabaluktot nito ang pagtingin ng mga kontra-base sa pangangailangang palayasin ang mga base-militar ng US, sa pagsasabing parang pagputol sa umbilical cord ng anak sa ina ang pagbasura sa tratado para sa pagpapatagal ng mga base sa bansa.	(3) it reverses the view of the anti-base parties on the need to disperse the US military bases by saying that the abolition of the treaty allowing the extended stay of the bases in the country is comparable to the child cutting off the umbilical cord with the mother.
<12>	Hindi nito kayang ilahad nang matapat ang pagtingin ng mga kontra-base.	it can not clearly present the views of the anti-base parties.
<13>	O ang kaya lang nitong ilahad ay ang pagtutol ng mga pulitiko sa base.	or what it can only present is the resistance of the politicians at the base.
<14>	Para sa marami sa mga kontra-base, hindi nakabubuhay na ugnayan ang namayani sa pagitan ng US at Pilipinas sa mahabang panahon, kundi nakamamatay.	for most of the members of the anti-base parties, the relations between the US and the Philippines for a long time is not beneficial, but deadly.
<15>	Kasuklam-suklam din ang implikasyon na hindi maisisilang ang Pilipinas kung hindi dahil sa US.	the implication that the Philippines would not come to be if not for the US is loathsome.
<16>	(4) Pinagmumukha nitong iisang entidad ang Pilipinas kasabay ng pagsasabing napangibabawan na nito ang nabanggit na lumang emosyunalismo.	(4) it presents the Philippines as a single entity along with claiming that it has overcome the old emotionalism mentioned earlier.
<17>	Sa ganito, pinagtatakpan nito na ang mga naghaharing uri, hindi ang nakararaming pinaghahariang uri, ang may kontrol sa patakarang panlabas ng bansa.	this way, it's disguising the ruling classes, not the dominant majority, are the ones who have control over the foreign policy of the country.
<18>	Sa mga naghaharing uri, hindi pagkapawi ng anumang emosyunalismo ang naganap, kundi pagpapatuloy ng pagiging sunud-sunuran sa US – na napaatras ng malakas na protesta ng mga mamamayan.	for the ruling classes, dissipation of emotionalism is now what happened, but the continuing subservience to the US - which was put back by the strong protests of the citizens.
<19>	Anu’t anuman, binabansagan nito ng “lumang emosyunalismo” ang pagtutol ng mga mamamayan sa presensyang militar ng US para maibasura ito – na para bang isa lang itong lumang bagahe na dapat itapon.	in any case, it labels the fight of the citizens against the presence of US military as "old emotionalism" - as if it was just like old baggage that needs to be thrown out.
<20>	(5) Pinalalabas nitong nasaktan ang US sa pagpapalayas sa mga base-militar nito sa Pilipinas.	(5) it's trying to show that the US was hurt because of the calls to disperse their military base from the Philippines.
<21>	Muli, pinagmumukhang isang entidad ang US.	again, it's trying to show the US as one entity.
<22>	Sa panig ng mga naghaharing uri ng US, hindi naman talaga umalis ang presensyang militar ng US sa bansa, kaya walang dahilan para masaktan.	on the part of the US ruling classes, the US military presence never left the country, so there is no reason to be hurt.
<23>	Sa panig ng mga mamamayang Amerikano, may seksyong tutol rin sa pagkakaroon at pagpapalawak ng base ng US sa bansa at sa mundo.	on the part of the American citizens, there is a section which also opposes the existence and expansion of the US base in the country and around the world.
<24>	Higit pa riyan, para bang emosyon o damdamin ang namamayani sa gobyerno ng US sa pagpapasaklaw ng presensyang militar nito sa buong mundo – hindi ang malamig at malupit na kalkulasyon ng pagsusulong ng sariling interes, batay sa pagsusuri ng US State Department at Central Intelligence Agency.	more than that, it is as if emotions and feelings are dominating the US government regarding the expansion of military presence around the world - not the cold and hard calculations of self interest, based on a research by the US State Department and the Central Intelligence Agency.
<25>	(6) Lumilikha ito ng pag-asa na posible ang “isang kasunduang kapaki-pakinabang sa dalawang panig” mula sa hungkag na pag-asang natuto na dalawang bansa sa mapapait na karanasan ng kanilang espesyal na ugnayan.	(6) it creates hope that "a mutually beneficial agreement on both sides" is possible from the hollow hope that both countries already learned from their bitter experiences regarding their special relation.
<26>	Paanong natuto?	how did they learn?
<27>	May pagkilala bang dapat sa Pilipinas ikulong ang mga tropang Amerikanong nakagawa ng krimen sa bansa?	is there acknowledgement that American troops who committed crime in the Philippines should be jailed in the country?
<28>	Pinahigpit ba ang pagbabawal sa paglahok ng mga tropang Amerikano sa mga armadong labanan na internal sa bansa?	are there any restrictions on the participation of American troops in the country's internal armed conflicts?
<29>	Ibinukas ba man lang sa inspeksyon ang mga kagamitang militar ng US sa posibleng paglabag sa pagbabawal ng Konstitusyon sa armas-nukleyar?	were the US military equipment made available for inspections for possible violations on the prohibition of nuclear weapons in the constitution?
<30>	Para sa gobyerno ng Pilipinas, walang mapait na karanasan sa tropang Amerikano, at niyayakap nito nang buo ang interes ng US.	for the Philippine government, there were no bitter experiences with the American troops, and it openly embraced the interest of the US.
<31>	Sa ganyang kalagayan, isang ilusyon o pantasya ang magkaroon ng pantay na kasunduan.	in that case, having a fair agreement will remain an illusion or a fantasy.
<32>	(7) Pinapaasa nito ang mga mambabasa, ang mga nasa panggitnang uri, sa pangakong tulong-militar ng US.	(7) it is setting up the readers, the middle class, with expectations of promised military help from the US.
<33>	Pinagtatakpan nito samakatwid ang mahabang karanasan ng bansa sa mga base-militar ng US.	it obscures the country's long-standing experience with US military bases.
<34>	Sa loob ng mahigit apat na dekada ng pananatili ng mga base ng US sa bansa, pinaasa ang mga mamamayan sa tulong-militar, na kesyo imomodernisa ang militar.	for over four decades of US bases staying in the country, the citizens were sold on the belief of US military help on modernizing the country's military.
<35>	Pero hanggang ngayon, kailangan pa rin itong imodernisa.	but until now, it still needs to be modernized.
<36>	Puro mga lumang kagamitan ang ibinigay at dagdag-gastos pa nga sa mga mamamayan – hindi talaga tulong ng umano’y kaibigan.	old equipment are provided at an additional expense to the citizens - not the kind of help a friend would offer.
<37>	(8) Pinagmumukha nitong ang interes ng Pilipinas kaugnay ng Tsina ang pangunahing dahilan sa pagpapalawak at pagpapatagal ng presensyang militar ng US sa bansa.	(8) it is making it look like the interest of the Philippines regarding China is the main reason for the expansion and the extended stay of the US military presence in the country.
<38>	Mapanlinlang at mapanganib ito sa mga mamamayan.	this is misleading and dangerous to the citizens.
<39>	Ang totoo, ang interes ng US ang pangunahing dahilan ng kampanya nitong magpalawak at magpatagal ng presensyang militar sa Pilipinas.	in fact, US interests are the main reason for the campaign to expand and extend the stay of the military presence in the Philippines.
<40>	Gusto nitong takutin at palibutan ang Tsina, na isa ngayong lumalakas na kapangyarihan sa mundo.	it wants to intimidate and surround China, which is now a growing power in the world.
<41>	Pero hindi iyan nangangahulugang ipaglalaban talaga ng US ang Pilipinas kung gagawa ng anumang probokasyon ang Tsina.	but that does not mean that the US will defend the Philippines if China initiates any kind of provocation.
<42>	Masalimuot ang rekord ng US sa ganito: may panahong pinapahintulutan ang pananakop, may mga panahong hindi.	the records of the US regarding this kind of situation is messy: there are times that conquest is permitted, there are times that it isn't.
<43>	At marami mang laban ng US na ipinambala ang mga Pilipino, wala pang direktang laban ang US para sa mga Pilipino.	there are already a lot of wars that Filipinos were made to fight for the US, but there hasn't been direct help from the US for the Filipinos.
<44>	Ang punto: iba ang interes ng US at iba ang interes ng Pilipinas.	the point: the interests of the US are different from the interests of the Philippines.
<45>	(9) Sinisiraan nito ang Kaliwa sa bansa, sa pagpapalaganap ng kasinungalingan na tahimik ang huli sa mga pahayag at aksyon sa Tsina, na tinawag nitong “treasonous” o “pagtataksil sa bayan.”	(9) it is perverting the perception of leftists in the country by spreading the lie that they remain silent towards the statements and actions of China, which it is calling "treasonous" or "treason against the nation."
<46>	Para magmukhang kapani-paniwala ang ganitong kasinungalingan, inugat pa ang umano’y pananahimik sa oryentasyong “Maoista” ng Kaliwa.	to make the lie more believable, it is spreading the statement that their silence is rooted on the Maoist orientation of the leftists.
<47>	Ang totoo, kinondena at tinutulan ng Kaliwa ang mga pahayag at aksyon ng Tsina, pero pinatampok din ang mas malaking panganib na dulot ng pagsamantala ng US sa usapin.	in fact, the leftists condemned and opposed the statements and actions of China, but exposed the greater risk posed by the US exploitation in the matter.
<48>	Ang puntiryahin ang Tsina sa ilang aksyon at pahayag nito nang niyayakap ang US sa mahigit sandaang taong rekord nito sa bansa – iyan ang pagtataksil sa bayan.	targeting China based on a couple of actions and statements while embracing the US even with a hundred years of records of their stay in the country - that is treason against the nation.
<49>	Hindi tutuligsain ng Kaliwa ang Tsina dahil Maoista ito?	the leftists will not criticize China because they are Maoists?
<50>	Para iyang pagsasabing hindi tutuligsain ng mga naniniwala kay Hesukristo ang Israel – kahit pa kontra-Kristiyano ang mga patakaran nito.	it is like saying that believers in Jesus Christ will not criticize Israel - even though their policies are against Christians.
<51>	Sa pagtindi ng malubhang pang-ekonomiyang krisis sa mundo, tiyak na lalakas ang tulak ng US na magpalawak ng presensyang militar sa iba’t ibang panig ng mundo at mag-udyok ng gera sa iba’t ibang bansa.	with the intensification of the severe world economic crisis, surely the US will strengthen its push to expand their military presence in different parts of the world and instigate war with different countries.
