<1>	Lugmok	down
<2>	August 9, 2016	August 9, 2016
<3>	Mabuhay ang bagong silver medalist ng bansa sa 2016 Rio Olympics na si Hidilyn Diaz!	long live the new silver medalist of the country in the 2016 Rio Olympics, Hidilyn Diaz!
<4>	Pumangalawa siya sa Chinese gold medalist sa 53-kg division sa weightlifting at binasag ang 20 taong medal drought ng bansa sa Olympics.	she placed second to a Chinese gold medalist in the 53-kg division in weightlifting and broke the 20-year medal drought of the country in the Olympics.
<5>	Sa success ni Hidilyn, lalo ngayong sumisigaw ang buong sambayanang Pilipino ng matinding pagbabago sa larangan ng sports sa bansa!	with Hidilyn's success, the whole Filipino nation is screaming louder about a serious change in the field of sports for the country!
<6>	Palitan na ang lahat ng mga namumuno dito na pulos pulitika ang idinulot sa nakaraang ilang dekada!	replace all the leaders who all have caused politicking in the last few decades!
<7>	Sana’y marinig ito ng Pangulong Digong!	hope President Digong hears this!
<8>	Huwag na tayong lumayo, dito na lang sa industriya ng karera ay alam na agad kung ano’ng klase ng pamunuan meron ito dahil sa matagal nang pagkakalugmok nito.	let us not go far, just here in the racing industry the kind of governance is immediately obvious because of how long it has been helpless.
<9>	Mahigit isang dekada na ang nakakaraan mula nang masapul ng karera ang revenue o sales na P8 bilyon.	it has been more than a decade since races have hit a revenue or sales of P8 billion.
<10>	Pero hindi na tumaas ang revenue na naililista sa loob ng 10 taon.	but the noted revenue in the last 10 years has not increased.
<11>	Ang masama, bumagsak sa P7 bilyon nitong nakaraang taon kaya marami ang nagtatanong kung meron bang kaunting puwang sa puso ng Malacañang ang karera sa bansa.	what is worse, it fell to P7 billion last year so many are questioning if racing in the country has a small place in the heart of Malacañang.
<12>	Kung meron, bakit nariyan pa ang mga taong dapat sana’y nagmamalasakit sa industriya ng karera pero kaba­ligtaran ang nagagawa at nagi­ging sanhi pa ng patuloy na pagbagsak ng bentahan sa karera?	if there is, why do the people that should have concern for the industry but do the opposite and become the cause of the continuing decline of racing sales remain?
<13>	Ano ang masasabi ni Presidente Digong dito?	what can President Digong say about this?
<14>	Hindi lang isa, marami pa ang mga malala­king balitang dadagundong sa industriya ng karera sa mga susunod na araw.	not just one, there are more major news that will make waves in the racing industry in the following days.
<15>	Kung hindi ito nangyari sa ilang linggo, ito’y dahil sa pinag-isipan ng husto ng mga taong magpapasambulat nito.	if that does not happen in a few weeks, it is because it was carefully thought of by the people who will reveal it.
<16>	Antabayanan.	wait.
<17>	Kung akala ninyo ay kumpleto na ang paglilinis ng mga national road at mga arteries sa Kamaynilaan, tingnan ninyo muna kung may pinasimulan na sila sa kahabaan ng Zobel Roxas mula Makati hanggang Maynila.	if you think that the cleanup of national roads and arteries in Metro Manila is complete, check first if they have started along Zobel Roxas from Makati up to Manila.
<18>	Grabe pa rin ang mga kalat at mga naka­bara sa lansangang ito sa mag­kabilang dulo at ginawa na ring isang malaking parking lot sa gabi.	there are still a lot of trash and blockages in the opposite parts of this road and it is also used as a huge parking lot at night.
<19>	Perwisyo ang magdaan dito kahit na ano’ng oras.	passing here at any time is a hassle.
