<1>	ISPORT LANG!:	SPORT ONLY! :
<2>	Pangiliti ni ArumAugust 14, 2016 Kung pangingiliti sa fans, wala nang tatalo kay Top Rank big boss Bob Arum.	Teasing of Arum August 14, 2016 in teasing fans, no one can beat Top Rank big boss Bob Arum.
<3>	Ilang araw lamang makalipas na isara at kumpirmahin ang Nov. 5 comeback fight ni Sena­tor Manny Pacquiao kay WBO welterweight champion Jesse Vargas ay nagsimula na ang pangingiliti ni Arum.	A couple of days after closing and confirming the Nov. 5 comeback fight of Senator Manny Pacquiao with WBO welterweight champion Jesse Vargas, Arum started his teasing.
<4>	Dahil nga siguro sa hindi magandang pagtanggap ng fans sa Pacquiao-Vargas fight, kinailangan ni Arum na mag-isip ng paraan para gumaan ang loob ng mga ito.	Maybe because of the negative reception of fans to the Pacquiao-Vargas fight, Arum needed to think of a way to lighten them up.
<5>	Tahasang sinabi ni Arum na next year ay may dalawang laban pa ang senador.	Arum frankly stated that next year, the senator will have two fights.
<6>	At isa nga daw dito ay rematch kay Floyd Mayweather Jr.	and one of which is a rematch against Floyd Mayweather Junior.
<7>	Kuwidaw ka, walang kagatol-gatol na sinabi ni Arum na tiyak na mananalo si Pacquiao sa rematch.	With no hesitations, Arum said that Pacquiao will win in the rematch.
<8>	Parang sinigundahan lang ni Arum ang sinabi noon ng Hall of Fame trainer na si Freddie Roach na walang dudang mananalo si Pacquiao kay Mayweather kung 100% condition ang Pambansang Kamao.	it seems like Arum just reinforced what Hall of Fame trainer Freddie Roach said wherein there is no doubt that Pacquiao will win against Mayweather if the National Fist is 100% in condition.
<9>	Ibig sabihin kung walang injury ang 8-division world champion ay tiyak ang tagumpay nito kay Mayweather.	which means that if the 8-division world champion has no injuries, he will surely be victorious against Mayweather.
<10>	Kung sabagay, nakita naman ng buong mundo ang nangyari sa labang ‘yun, kung saan na-ope­rahan at nagpahinga ng isang taon ang senador sa pagboboksing.	As a matter of fact, the world has seen what happened during that fight, wherein the senator had an operation and rested for a year from boxing.
<11>	Nasulat na rin sa kolum na ito na ang laban ni Pacquiao kay Vargas ay silbing pampagana lamang dahil talagang ang target ni Pacquiao ay rematch kay Mayweather.	it was written in this column that this fight of Pacquiao with Vargas will only serve as an appetizer because the real target of Pacquiao is a rematch with Mayweather.
<12>	Kaso tila wala na talaga muna sa isip ni Mayweather ang pagbabalik-boksing sa ngayon.	however, it seems like Mayweather is not thinking of going back to boxing as of the moment.
<13>	Base ito sa sinabi ni Roach na nang magkita sila sa isang restaurant sa LA mahigit isang buwan na ang nakaraan, nabanggit niya ang boksing, pero ang sagot sa kanya hindi na daw nadalaw man lamang sa gym si Mayweather matapos ang laban nila ni Pacquiao.	this is according to what Roach said that when they saw each other in a restaurant in LA more than a month ago, he mentioned boxing but he was answered that Mayweather has not even visited the gym since the fight with Pacquiao.
<14>	Nakakapagtaka rin na magiliw daw sa kanya si Mayweather at hindi supladito.	it was also amazing that Mayweather was friendly towards him and not antagonistic.
