<1>	Pinoy Cuppers dadaan sa mabigat na pagsubok vs Taiwanese	Pinoy Cuppers will go through a big challenge versus the Taiwanese.
<2>	Ni ATan (Pilipino Star Ngayon) | Updated July 12, 2015 - 12:00am	by ATan (Pilipino Star Ngayon) | Updated July 12, 2015 - 12:00am
<3>	MANILA, Philippines – Nahaharap sa matin­ding pagsubok ang Philippine Davis Cup team sa pagharap sa Chinese Taipei sa Asia Oceania Zone Group 2 semifinals Davis Cup tie sa Kaohsiung, Chinese Taipei.	Manila, Philippines - Philippine Davis Cup team is facing a difficult challenge in their match against Chinese Taipei at Asia Oceania Zone Group 2 semifinals Davis Cup tie in Kaohsiung, Chinese Taipei.
<4>	Ibabandera uli ang koponan ng mga Fil-Ame­ricans na sina Treat Huey at Ruben Gonzales sa ha­ngaring manaig sa host team upang umusad sa Finals.	team of Fil-Americans, Treat Huey and Ruben Gonzales, will be showed off again in hopes that it will prevail in host team to move forward to Finals.
<5>	Ang kompetisyon ay gagawin mula Hulyo 17 hanggang 19 sa Kaoh­siung, Yangming hard court at ang mananalo ang makakaharap ng magwawagi sa Indonesia at Pakistan sa finals sa Setyembre 18 hanggang 20 para malaman kung sino ang aabante sa Group I sa 2016.	the competition will be held from July 17 until 19 in Kaohsiung, Yangming hard court, and the winner will face the winner of Indonesia and Pakistan finals this September 18 to 20, to know who will move forward to Group I in 2016.
<6>	Ang matatalo sa tagisan ay mananatili sa Group II sa susunod na taon.	the loser of the match will remain in Group II in the next year.
<7>	Si Patrick John Tierro ay kasama rin habang idinagdag si Jeson Patrombon para makahalili si Francis Casey Alcantara.	Patrick John Tierro is also included, while Jeson Patrobon was included to substitute for Francis Casey Alcantara.
<8>	Sina Huey, Gonzales, Tierro at Alcantara ang kumatawan sa Pilipinas nang hiniritan ng 5-0 shutout panalo ng Sri Lanka sa first round noong Marso 6 hanggang 8 sa Valle Verde Country Club sa Pasig City.	Huey, Gonales, Tierro, and Alcantara represented the Philippines during the blow of 5-0 shutout win of Sri Lanka on the first round last March 6 to 8 at Valle Verde Country Club in Pasig City.
<9>	Pumasok si Tierro ma­­tapos ang disenteng ipinakita sa Singapore SEA Games na kung saan sina Huey, Gonzales at Tierro ay naglaro rin.	Tierro went in after the decency shown in Singapore SEA Games where Huey, Gonzales, and Tierro also played.
<10>	Ang number 61 sa singles sa mundo na si Lu Yen-hsun ang mangunguna sa home team bukod pa kina Hung Jui-chen, Peng Hsien-yin at Lee Hsin-han.	the number 61 of singles in the world, Lu Yen-hsun, will lead the home team, aside from Hung Hui-chen, Peng Hsien-yin, and Lee Hsin-han.
<11>	Sina Lu at Hung ay naglaro sa koponan nang dinurog ang Lebanon, 5-0, sa first round na ginawa rin sa kanilang lugar.	Lu and Hung played in the team when Lebanon was crushed, 5-0, during the first round also held in their place.
<12>	Ito na ang ikapitong pag­kakataon na magkikita ang dalawang bansa sa Davis Cup at bagama’t lamang sa panalo ang manlalaro ng bansa, 4-2, ang huling dalawang pagtutuos noong 2010 at 2011 ay nakuha ng Taiwanese delegation.	this is the seventh time that the two countries will meet at the Davis Cup, although players of the country are of point advantage, 4-2, the last two matches in 2010 and 2011 were won by the Taiwanese delegation.
