<1>	52 na mag-aaral nabiyayaan ng libreng salamin sa mata	52 students are granted free eyeglasses
<2>	September 22, 2016 Cherry Joy D. Garma	September 22, 2016 Cherry Joy D. Garma
<3>	LUNGSOD NG LAOAG, Setyembre 22 (PIA) – Sa layuning mabigyan ng mas malinaw na paningin ang mga bata, ang Optometric Association of Laoag City ay nagkaloob ng libreng salamin at eye check-up sa 52 na mag-aaral mula sa mga pampublikong paaralan dito.	City of Laoag, September 22 (PIA) - in the objective to give a clearer vision to the children, the Optometric Association of Laoag City granted free eyeglasses and eye check-up to the 52 students from the public schools here.
<4>	Ang programang tinawag ng pribadong group na “Sight For A Child” ay kusang isinagawa ng mga miyembro nito mula sa sarili nilang pondo.	the program called by the private group as "Sight for a Child" is voluntarily done by its members from their personal funds.
<5>	“Napili namin ang mga bata na bigyan ng ganitong serbisyo sapagkat sa ganitong mga edad ay maaari pang maiwasto ang kanilang mga sakit sa mata,” saad ni Dr. Victorina Vallente, presidente ng samahan.	"we chose the children to give this kind of service because at these ages, their diseases on the eyes can still be corrected," promised by Dr. Victorina Vallente, president of the organization.
<6>	Ang mga mag-aaral na natulungan ng samahan ay mula sa limang pampublikong paaralan. Ito ay ang mababang paaralan ng A.P. Santos, Roque Ablan Sr., Central School, Gabaldon, at Shamrock sa Lungsod ng Laoag.	the pupils helped by the organization are from the five public schools. these are the elementary schools of A.P. Santos, Roque Ablan Sr., Central School, Gabaldon, and Shamrock in the City of Laoag.
<7>	“Minabuti naming sa public schools kami kumuha ng mga benepisyaro dahil alam naman natin na karamihan sa kanila kahit may nararamdamang panlalabo ng mata ay walang pera para magpakonsulta,” ani Vallente.	"we intended that we take the beneficiaries from the public schools because we know that most of them, despite having feelings of blurriness of the eyes, have no money to go for a consultation," said Vallente.
<8>	Bawat salamin ay nagkakahalaga ng P800 hanggang P1,200 kung ito ay bibilhin sa pribadong eye clinic.	each glass is worth P800 to P1200 if this is going to be bought in a private eye clinic.
<9>	Ayon pa sa doktor, kadalasan na nagiging sanhi ng paglabo ng mata ay ang madalas na paggamit ng mga electronic gadget gaya ng cellphones, iPad, computers, telebisyon, at marami pang iba.	according to the doctor, the usual that becomes the cause of the blurring of the eyes is the usual use of electronic gadget such as cellphones, iPad, computers, television, and many others.
<10>	Karamihan sa mga nabigyan nila ng libreng salamin ay ang mga batang may paglabo ng mata sanhi ng ‘combined astigmatism’ na nakukuha sa radiation mula sa nasabing gadgets.	most of those whom they have given glasses are the children who have blurring in the eyes caused by 'combined astigmatism' that is acquired in radiation from the said gadgets.
<11>	Sa inisyal na pagsasagawa ng proyekto ay nagtalaga sila ng 100 na pasyente at plano pa ng samahan na ipagpatuloy ang nasabing proyekto hanggang taong 2020 bilang pagdiriwang na din sa ‘Sight Saving Month’ tuwing Agosto.	on the initial implementation of the project, they have recorded 100 patients and the organization planned to continue the said project until the year 2020 as a celebration also of the 'Sight Saving Month' every August.
<12>	(JNPD/CJDG, PIA1-Ilocos Norte)	(JNPD/CJDG, PIA1-Ilocos Norte)
