<1>	Glaucoma MARAMI din palang sakit sa mata ang hindi natin alam.	glaucoma there are many eye diseases that we do not know of.
<2>	Malalaman na lamang natin kapag nakararanas na tayo ng mga sintomas nito.	we will eventually learn if we have experienced its symptoms.
<3>	Isang ‘di pangkaraniwang sakit sa mata ang glaucoma.	glaucoma is not an ordinary eye disease.
<4>	Ano ang Glaucoma?	what is glaucoma?
<5>	· Ito’y kondisyon na sanhi ng pagtaas ng presyur ng likido sa mata, na maaaring maging sanhi ng pagkabulag kapag hindi nagamot.	this is a condition caused by the rising of the pressure of liquid behind the eyes that might cause blindness if not treated.
<6>	Isa sa 50 katao na may edad 40-taong gulang pataas ang maaaring magkaroon nito.	one of the 50 people with age 40 years old and up might have this.
<7>	Dalawang uri ng Glaucoma: · Chronic Glaucoma – Ito ang karaniwan kapag edad 40-taong gulang na at sinasabing nasa lahi.	two types of glaucoma: chronic glaucoma - this is usual for 40-year old and could be genetic.
<8>	Ang iba pang salik ay ang pagtanda, sobrang pagka-short-sighted o pagkakaroon ng diabetes.	other classification is getting old, too much short-sighted or having diabetes.
<9>	Walang maaaring magawa para mapigilan ito at dapat lamang ay ipatsek-ap ang mga mata para matukoy nang maaga ang mga senyales ng pagkakaroon nito.	nothing could be done to stop this and the eyes should be checked to determine the symptoms of having this earlier.
<10>	· Acute Glaucoma – Dumarating ito nang walang senyales.	acute glaucoma - arrives without a symptom.
<11>	At hindi maiiwasan kung marami sa pamilya o kadugo ang nakaranas na nito.	and could not be avoided if many in the family or relatives have experienced this.
<12>	Paano gagamutin?	how to treat?
<13>	· Chronic Glaucoma. Maaari itong gamutin sa mga ireresetang pampatak sa mata para mabawasan ang presyur sa mata at para mabawasan ang dami ng likido na pinoprodyus ng mga bata.	chronic glaucoma. this can be treated with prescribed eye drops to lessen the pressure on the eyes and to lessen the amount of liquid produced by the children.
<14>	· Acute Glaucoma. Karaniwang nagrereseta ng mga gamot para dito at isang operasyon ang dapat gawin—tatanggalin ang maliit na bahagi ng tisyu para maalis ang likido o mabawasan ang mabilis na pagtaas ng presyur sa loob ng mga mata.	acute glaucoma. usually, there is a medicine prescribed for this and an operation should be done - removal of small parts of the tissue to remove the liquid or lessen the quick rise of pressure inside the eyes.
<15>	MARJORIE ANN DACORO	Marjorie Ann Dacoro
