<1>	Krystall Herbal products maraming tulong sa pamilya	Krystall Herbal products, a great help to family
<2>	Posted by: Fely Guy Ong	Posted by: Fely Guy Ong
<3>	on January 28, 2017	on January 28, 2017
<4>	in Opinion	in Opinion
<5>	DEAR Sis Fely,	Dear Sister Fely,
<6>	Magandang araw po, nagpapasalamat po ako sa produkto ng Krystall.	good morning, I am grateful for Krystall products.
<7>	Nais ko pong ibahagi ang aking karanasan sa paggamit ng Krystall product.	I would like to share with you my experience using Krystall products.
<8>	Noong dumating si Bro. Mike galing ibang bansa nang kami po ay pauwi na, sinamaan po ako ng katawan.	When Brother Mike arrived from another country while we were going home, I suddenly felt ill.
<9>	Sumakit pa ang aking tiyan at nagsisikip ang aking dibdib.	My stomach hurt and my chest was tight.
<10>	Nang araw na yon ay may baon akong yellow tablet, B1B6 at Krystall herbal oil.	That day, I had brought with me yellow tablet, B1B6, and Krystall herbal oil.
<11>	Pero bumili pa rin ako ng panggamit para sa buwan ng July.	However, I still bought some to use for the month of July.
<12>	Uminom ako ng dalawang Krystall yellow tablet at hinaplosan ko ng langis ang aking sikmura at dibdib.	I took two Krystall yellow tablets and rubbed oil on my stomach and chest.
<13>	Saka ako uminom ng Krystall B1B6.	Then I drank Krystall B1B6.
<14>	Maya-maya ‘di ko namalayan nakatulog pala ako at nagising ako (nasa sasakyan pa kami) ay wala nang masakit sa akin.	A while later, I unconsciously fell asleep and when I woke up (we were still in the car), I no longer felt any pain.
<15>	Isa pa po ang aking anak ay nahihirapang dumumi at parang butil-butil ang kanyang dumi na ayaw lumabas.	Another one: my child was having difficulty passing stool and his stool seemed like separate hard lumps which refused to come out.
<16>	Pinainom ko siya ng Krystall yellow tablet at pinainom ko ng Krystall nature herb.	I made him take a Krystall yellow tablet and drink Krystall nature herb.
<17>	Pinahiran ko ng Krystall yellow tablet at inihalo sa Krystall oil sa kanyang puwit dahil may dugo raw.	I mixed the Krystall yellow tablet with the Krystall oil and rubbed it on his bottom which was bleeding.
<18>	Sa awa po ng Diyos ay umokey na ang anak ko.	By God's grace, my child got better.
<19>	Isa pa po sis Fely, ang akin pong mata ay parehong may katarata, malapit po sa tautauhan ‘yung isa, pinatakan ko po ng Krystall eyedrop.	Another one, Sister Fely: my eyes both have cataracts. One of them was near the pupil and I put Krystall eye drops on it.
<20>	Malapit na pong makaubos ng dalawang bote.	I've already used up two bottles.
<21>	Ang resulta po maliit na po ang katarata sa mata ko.	As a result, the cataract in my eye subsided.
<22>	Kaya patuloy ko pong pinapatakan ng Krystall eyedrop ang aking mata hanggang mawala ito.	That's why I'll continue to use Krystall eye drops on my eyes until they totally disappear.
<23>	Gumagamit din po kami ng Krystall powder at Krystall Guava soap, Krystall Noto Green at Mandarin pills.	we also use Krystall powder and Krystall Guava soap, Krystall Noto Green and Mandarin pills.
<24>	Salamat po sa produktong Krystall at kami natutulungan sa mga karamdaman.	Thanks to Krystall products, we are relieved from our illnesses.
<25>	Sis Susana B. Dela Cruz	Sister Susana B. Dela Cruz
<26>	Suliran, Baliwag, Bulacan	Suliran, Baliwag, Bulacan
