<1>	Militar, itinuro ng saksi sa ‘pagmasaker’ sa kanyang ama’t mga kapatid sa Camarines Norte	military, pointed by the witness of the massacre of his father and siblings in Camarines Norte
<2>	Isang masaker ng mga sibilyan ang naganap noong Pebrero 24 sa Sitio Mapatong, Purok 6, Brgy. Malaya, Labo, Camarines Norte, at hindi engkuwentro sa pagitan ng militar at mga rebelde.	a massacre of civilians happened last February 24 in Sitio Mapatong, Purok 6, Barangay Malaya, Labo, Camarines Norte, and not an encounter between the military and the rebels.
<3>	Ito ang pahayag ng grupong pangkarapatang pantao na Karapatan, matapos imbestigahan ng grupo ang insidenteng ibinandila sa midya ng 49th Infantry Battalion ng Philippine Army bilang “engkuwentro” sa pagitan ng Army at ng rebeldeng New People’s Army (NPA).	this is the statement of the Karapatan, a human rights' group, after the group investigated the incident reported in the media by the 49th Infantry Battalion of the Philippine Army as an encounter between the army and the rebels New People's Army (NPA).
<4>	Sinabi ni Maricel Delen, tagapag-ugnay ng Karapatan sa Camarines Norte, na napag-alaman nila na hindi NPA si Benjamin Mancera, 54 anyos at magsasaka at magkakabod (gold panner) sa naturang lugar.	Maricel Delen said, coordinator of Karapatan in Camarines Norte, they found out that Benjamin Mancera, 54 years old and farmer and pans gold (one who pans gold) in the said place.
<5>	Sinasabi kasi ng Army sa midya na rebelde si Mancera.	the Army is telling the media that Mancera is a rebel.
<6>	Kasama din na napatay ang dalawang anak ni Mancera na sina Michael, 10-anyos at Richard, pitong taong-gulang.	the two children of Mancera, Michael, 10 years old and Richard, seven years old, are included in those who are killed.
<7>	Sugatan naman ang isa pang anak ni Mancera na si Leonisa Mancera, 14-anyos.	another child of Mancera, Leonisa Mancera, 14 years old, is wounded.
<8>	Sinabi ng 49th IB sa midya matapos ang insidente na nakaengkuwentro ng militar ang 15 miyembro ng NPA, at sa engkuwentrong ito napatay ang mag-aamang Mancera at isang NPA.	the 49th IB said in the media after the incident that the military have encountered the 15 members of the NPA, and this encounter killed the Mancera and his children as well as an NPA.
<9>	“Walang naganap na engkuwentro.	"no encounter happened.
<10>	Sa halip, minasaker (ng militar) ang mga biktima,” sabi pa ni Delen.	instead, the victims are massacred (by the military," Delen said.
<11>	Sa salaysay ng batang nakaligtas, sinabi niyang hindi nagpaputok ang nag-iisang NPA na nasa loob ng bahay, bagkus mga militar umano ang nagpaulan ng bala.	in the statement of the child who escaped, the lone NPA inside the house did not fire, instead, the military showered bullets.
<12>	“Sa pagbaybay sa insidente ng masaker mula sa testimonya ni Leonisa…hindi na nagawang magpaputok pa ng baril ang NPA na napatay na nagpakilalang si ‘Ka Pedro’ na nakapwesto sa kanilang kusina at namamahinga ng oras na iyon,” sabi ng Karapatan-Camarines Sur.	"in following the massacre incident from Leonisa's testimony, the NPA was not able to fire a gun, had introduced himself as "Ka Pedro" who was positioned in their kitchen and was only taking rest on that hour," Karapatan-Camarines Sur said.
<13>	Sa imbestigasyon nila, napag-alaman din na si Leonisa umano ang unang nakakita na papalapit ang mga sundalo.	in their investigation, it was found out that Leonisa first saw the approaching soldiers.
<14>	May mahahabang armas ang mga sundalo at tinatayang may 20 metros ang layo mula sa kanyang posisyon sa may pinto ng sala.	the soldiers have long firearms and estimated a 20-meter distance from her position near the door of the living room.
<15>	“Ginising niya ang kanyang ama na noong oras na iyon ay namamahinga matapos makapananghalian at mula sa paghahanap ng ginto sa ilog umaga ng araw na iyon.	"she woke up her father who was resting in that hour after lunch and from searching gold in the river morning of that day.
<16>	Bumangon ang kanyang ama upang silipin ang tinutukoy ni Leonisa,” sabi pa sa ulat ng Karapatan.	her father rose up to peek through what Leonisa is describing," told in Karapatan's report.
<17>	Bumalik din agad si Leonisa sa higaan.	Leonisa immediately went back to bed.
<18>	Pero makalipas ang ilang sandali, nakarinig siya ng putok na sinundan na ng pagpapaulan ng bala mula sa labas ng kanilang bahay.	but few moments passed, she heard a shot followed by a shower of bullets from outside their house.
<19>	“Narinig pa niyang tinawag ng kanyang tatay ang bunso niyang kapatid na naglalaro ng palobo habang ang isa niyang kapatid ay gumagawa ng takdang aralin sa kabilang kuwarto.	"she has heard that her father called for the youngest who was playing a balloon while the other sibling is making an assignment in the other room.
<20>	Humiga lamang si Leonisa sa katabi ng kanyang tatay at kapatid na bunso,” inulat ng Karapatan, matapos maglunsad ng fact-finding mission sa naturang lugar.	Leonisa only laid down beside her father and youngest sibling," Karapatan reported, after launching a fact-finding mission in the said place.
<21>	Matapos umano ang 30 minuto, tumigil ang putok at pumasok ang isang sundalo sa loob ng bahay at nagsiyasat.	after 30 minutes, the firing subsided and a soldier entered inside the house and inspected.
<22>	Narinig ni Leonisa na sumigaw ang sundalo ng “May mga batang patay!	Leonisa heard the soldier shouted, "there are children killed!"
<23>	May mga batang patay!”	there are children killed!"
