<1>	MARIJUANA OKAY SA BUNTIS	marijuana okay for pregnant women
<2>	NAGBAGO na talaga ang panahon, kahit sa matandang kapaniwalaan na ang paggamit ng marijuana ay maaaring makasama sa buntis na ina.	the times have really changed, even the old belief that marijuana usage may be harmful to pregnant women.
<3>	Kahit sa Internet ay makakikita ng dalubhasa sa medisina na nagbababala na ang paggamit ng cannabis ay makaaapekto sa kalusugan ng sanggol, at pwedeng mauwi sa leukemia.	even on the internet, you can find experts in medicine warning that using cannabis may affect the health of the infant and may possibly cause leukemia.
<4>	Karamihan ng pag-aaral sa North America ay nagpapakita na ang marijuana ay pwedeng maging sanhi ng depekto at problema sa paglaki ng sanggol.	most of the studies in North America show that marijuana may cause deficiencies and problems in the infant's development.
<5>	Gayunman, hindi inihiwalay ng mga pag-aaral na ito ang paggamit ng cannabis sa alak, tabako at sa lalong nakapipinsalang bagay gaya ng meth at heroin.	however, these studies didn't distinguish the use of cannabis from alcohol, tobacco, and more destructive substances like methamphetamine and heroin.
<6>	Pero sa Jamaica, nabigla ako nang malaman na ang mga buntis na ina ay regular na gumagamit ng marijuana na kadalasan ay nasa anyo ng tsaa o tonic, para guminhawa sa pagkahilo, tensyon at depresyon.	but in Jamaica, I was shocked to learn that pregnant women regularly use marijuana, usually in tea or tonic form, to relieve dizziness, tension, and depression.
<7>	Ayon sa report, nagsagawa ang estudyanteng si Melanie Dreher noong 1960s ng pag-aaral sa paggamit ng marijuana sa Jamaica upang maobserbahan at maidokumento ang resulta nito sa mga buntis na babae.	according to the report, a student named Melanie Dreher conducted a study in the 1960s about the usage of marijuana in Jamaica to observe and document its effects on pregnant women.
<8>	Natuklasan ni Dreher ang kultura sa Jamaica na naglalagay ng regulasyon sa sariling paggamit ng cannabis hanggang sa pag-iisip na ang pagma-marijuana ay ispirituwal.	Dreher discovered Jamaican culture wherein a regulation is placed in personal cannabis usage up to the point where using marijuana is considered spiritual.
<9>	Sinuri niya ang 24 na sanggol na gumagamit ng cannabis ang mga ina habang buntis at 20 sanggol na hindi nagma-marijuana ang mga ina.	she examined 24 children whose mothers used marijuana during pregnancy and 20 children whose mothers didn't use marijuana.
<10>	Ang resulta ng kanyang pag-aaral ay naging bahagi ng aklat na “Women and Cannabis: Medicine, Science and Sociology”.	the result of her study was included in the book "Women and Cannabis: Medicine, Science and Sociology".
<11>	Kinilala ng report ang mga lakas ng sanggol, posibleng kahinaan nila at reaksyon.	the report acknowledged the child's strengths, possible weaknesses and reaction.
<12>	Higit na mahalaga na bagaman ang mga bata sa pag-aaral ay sinuri hanggang sa edad na lima, walang nakitang negatibong epekto sa kanila.	it is most important that even though the children involved in the study were examined until the age of five, there were no negative effects found on them.
<13>	Sa kabaligtaran ay nakita silang nangunguna sa ibang kabataan.	in contrary, they were seen as leading compared to other children.
<14>	Dito sa bansa, nabubuhay tayo sa panahon na ang paggamit at pagsasaligal ng medical marijuana ay tinatalakay sa Kongreso.	here in the country, we live in a time where the use and legalization of medical marijuana is being discussed in Congress.
<15>	Napipigilan umano ng cannabis ang epilepsy at nakatutulong sa paggamot ng neuropathic diseases tulad ng Alzheimer’s at multiple sclerosis.	cannabis supposedly inhibits epilepsy and helps in curing neuropathic diseases like Alzheimer's disease and multiple sclerosis.
<16>	Nagagamot din nito ang kawalang-gana sa pagkain ng pasyente matapos sumailalim sa HIV/AIDS treatment o chemotherapy.	it also remedies the loss of appetite of a patient after undergoing HIV/AIDS treatment or chemotherapy.
<17>	Hindi kinukunsinti ng Firing Line ang paggamit o pang-aabuso sa anomang ipinagbabawal na droga.	the Firing Line is not tolerating the use or abuse of any illegal drugs.
<18>	Pero may mga pag-aaral na nagpapakita na ang marijuana ay nagagamit bilang gamot, kahit para sa mga buntis.	but there are studies that show that marijuana can be used as medicine, even for pregnant women.
<19>	Huwag nating isara ang ating mata sa kapakinabangang ito kundi mag-aral.	let us not be close our eyes to its benefits but study further.
<20>	Dapat ding pagtuunan kung paano mapipigilan ang pang-aabuso kapag naaprubahan ang paggamit ng medical marijuana.	due attention should also be placed on studies on how to prevent abuse if usage of medical marijuana is approved.
