<1>	ALAB: Fernandez galit na rinBy Al S. Mendoza	blaze: Fernandez also mad by Al S. Mendoza
<2>	November 16, 2016	November 16, 2016
<3>	Galit na rin pati si R­amon Fernandez, ang da­ting superstar sa Philippine Basketball Association (PBA) na komisyo­ner na ng Philippine Sports C­ommission (PSC).	Ramon Fernandez, the former superstar of Philippine Basketball Association (PBA), present commissioner of the Philippine Sports Commission (PSC), is also mad.
<4>	Binansagan ni­yang hindi patas si Peping C­ojuangco, pangulo ng Philippine Olympic Committee (POC), nang diniskwalifay ni Peping si Ricky Vargas, ang kanyang kalaban sa pagkapangulo.	he tagged Peping Cojuango, president of the Philippine Olympic Committe (POC), as unfair when Peping disqualified Ricky Vargas, his match in presidency.
<5>	Umano’y hindi kwalifayd si Vargas dahil sa pagliban nito sa mga miting ng POC General Assembly ayon sa Comelec sa pamumuno ni Frank Elizalde.	he said that Vargas is not qualified because of his absences in the meetings of POC Genereal Assembly, according to the Comelec headed by Frank Elizalde.
<6>	Di ba’t bias si Elizalde kay Cojuangco?	isn't Elizalde bias to Cojuangco?
<7>	Si Mikee Cojuangco, anak ni Peping, ay kasalukuyang permanenteng representante ng Pili­pinas sa International Olympic Committee (IOC) sa tulong na rin ni Elizalde.	Mike Cojuangco, Peping's son, is the current permanent representative of the Philippines in the International Olympic Committee (IOC) with the help of Elizalde.
<8>	Di kasi, si Elizalde ang pinalitan ni Imee.	no, Imee replaced Elizalde.
<9>	Mahigit 80 anyos na si Elizalde at kailangan nang magpahinga.	Elizalde is more than 80 years old, and needs to retire.
<10>	Kung tutuusin, dapat na ring magpahinga si Peping dahil edad 82 na rin siya.	in fairness, Peping also needs to retire because he's also 82 years old.
<11>	Hindi pa ba siya pagod?	isn't he tired?
<12>	Ano ba meron sa POC at ayaw bumitaw ni Peping?	what's in POC that Peping can't let go?
<13>	Naka-12 taon siya sa puwesto mula 2004.	he has been 12 years in the position, since 2004.
<14>	Hindi natalo sa reeleksiyon ng 2008 at 2012.	didn't lose in the reelection last 2008 and 2012.
<15>	Mukhang may laban si Vargas kaya’t diniskwalifay siya ni Peping?	doesn't it seem that because Vargas can compete, he was disqualified by Peping?
<16>	“Sa kilos ni Peping, sinayang niya ang pagkakataon na siya’y makapagpakita ng respeto sa demokrasya,” sabi ni Fernandez.	"because of Peping's actions, he wasted the chance to show respect to democracy," said Fernandez.
<17>	Kung matalo si Vargas sa korte, kangkungan muli ang Philippine sports.	if Vargas loses at court, Philippine sports will again be a garbage.
<18>	Kawawang bansa.	pitiful country.
