<1>	Kahina-hinalang pagpapalitan ng 17th IB at 21st IB	suspicious change from 17th IB to 21st IB
<2>	Ester Falcon	Ester Falcon
<3>	Henry Abraham Command - NPA-Eastern Cagayan	Henry Abraham Command - NPA Eastern Cagayan
<4>	March 22, 2013	March 22, 2013
<5>	Nangangarap ang 17th IB at 21st na babango pa ang kanilang pinoprotektahang estado-poder.	the 17th IB and 21st IB are dreaming that they could still look nice to the people of their protected places.
<6>	Nagkukumahog ang mga pahayag ng 17th IB na hindi ang pagpatay sa isang magsasaka sa Tinglayan, Kalinga ang dahilan ng paglipat ng 21st IB sa Cagayan samantalang paglilipat ng 17th IB sa Kalinga.	the 17th IB is scrambling to explain the reason for the transfer of the 21st IB to Cagayan while the transfer of the 17th IB to Kalinga was not due to the killing of a farmer in Tinglayan, Kalinga.
<7>	Sa katunayan, nagpapaligsahan ang dalawang yunit na ito ng AFP sa mahabang rekord ng krimen.	in fact, these two units of the AFP are competing in having the longest record of crimes.
<8>	Simula pa noong 1977, nagpusisyon na ang BN HQ ng 17th IB sa Burubor, Lallo at hindi maitatago ang katotohanang naghasik ito ng lagim sa mamamayang Cagayano.	since 1977, the BN HQ of the 17th IB is already stationed in Burubor, Lallo and the truth cannot be denied that they committed horrors to the people of Cagayan.
<9>	Sa likod mismo ng kampo inililibing nila ang mga taong dinudukot at sinasalbeyds.	the people they kidnapped and salvaged were buried at the back of the camp.
<10>	Kabilang dito si Rema Ragaza, isang guro na taga-Takiki, Gattaran na ginahasa muna bago pinatay.	one of them was Rema Ragaza, a teacher from Takiki, Gattaran, who was raped first before being killed.
<11>	Maraming hinuli at ikinukulong, binugbog at sapilitang pinagtrabaho sa kanilang kampo mula dekada sitenta.	there were many who were imprisoned, tortured and forced to work in their camps since the seventies.
<12>	Bumalik ito sa Cagayan noong 2004 at nagmayabang at nagbanta sa mamamayan sa pamamagitan ng islogan nitong “Don’t Dare, 17th IB is back!”.	they went back to Cagayan in 2004 and arrogantly threatened the people with their slogan, "Don't Dare, 17th IB is back!".
<13>	Binuksan nito ang muling pagbabalik sa marahas na operasyong militar at pinagbabaril si Noel Capili sa bahagi ng Alcala, Cagayan.	they started the return of the harsh military operation and shot Noel Capili in near Alcala, Cagayan.
<14>	Mula noon, wala nang “mapayapang tulog” kahit ang mga sibilyan sa ilalim ng 17th IB!	since then, no one had a peaceful sleep not even the civilians under the 17th IB!
<15>	Sa magkakasunod na taon, naging biktima nito ang mga komunidad ng mga magsasaka.	in the consecutive years that followed, their victims were communities of farmers.
<16>	Walang patawad ang naging pagpatay nito sa mga lider magsasakang sina Joey Javier, Anton Licyayo, Arthur Orpilla at Dioning Battad.	Joey Javier, Anton Licyayo, Arthur Orpilla and Dioning Battad which were the leaders of the farmers, were unmercifully killed.
<17>	Malilimutan ba ng mamamayang Cagayano ang di-makataong pagpatay sa mga sibilyan na sina Robert Balagat ng Mocag, Baggao at Roger Aglugob at isa pang magsasaka sa Bangatan, Gattaran Cagayan?	will the people of Cagayan forget the inhumane killing of civilians Robert Balagat of Mocag, Baggao and Roger Aglugob and another farmer from Bangatan, Gattaran, Cagayan?
<18>	Ultimo bata ay hindi pinatawad ng 17th IB, Pebrero 2007 ng pagbabarilin nito ang apat na bata sa Caruppian, Baggao Cagayan.	even the children were not spared by the 17th IB. In February 2007, they shot four kids in Caruppian, Baggao, Cagayan.
<19>	Pinakahuli ang paglapastangan sa mga bangkay ng tatlong mga kadre at kasapi ng NPA sa San Miguel, Baggao.	the latest was the violation of the remains of three cadres and members of the NPA in San Miguel, Baggao.
<20>	Sinalbeyds nila ang isa sa nahuling buhay na NPA at pinagbabaril din ang pamilya Pasion kasama ng tatlong taon na bata na malubhang nasugatan.	they salvaged one of the NPA's who were caught alive and they also shot the Pasion family including a three year old child who was seriously wounded.
<21>	Sino nga ba ang matutuwa sa mala-halimaw na rekord at kademonyuhang ito ng 17th IB?	who will be pleased with the monstrous record and evilness of the 17th IB?
<22>	Pero, ano rin bang aasahan ng mga Cagayano sa isang yunit na kilala ring berdugo?	but, what should the Cagayanos expect from a unit who is known to be an executioner?
<23>	Dating nakapusisyon sa Temblique, Baggao Ang 21st IB noong 1978.	the 21st IB was previously stationed in Temblique, Baggao in 1978.
<24>	Tulad ng 17th IB, mahaba na ang krimen nito sa mamamayan ng Iguig, Penablanca, Baggao, Alcala, Gattaran at Lallo.	like the 17th IB, it has a long history of crime against the people of Iguig, Penablanca, Baggao, Alcala, Gattaran and Lallo.
<25>	Sa pamumuno ni Col. Palafox, naghasik ng malawakang ebakwasyon, panununog ng kabahayan, panununog ng mga nakatabing palay ng mga magsasaka, pangrereyp at pagsasalbeyds.	in the leadership of Colonel Palafox, there was widespread evacuation, burning of houses, burning of stored rice of farmers, rape and salvaging.
<26>	Naghasik naman ito ng krimen sa mga minorya sa Kalinga bago muling ipinatulak dito sa probinsya ng Cagayan.	they also committed crimes against the minority of Kalinga before they were moved to the province of Cagayan.
<27>	Walang itulak-kabigin, pareho ang mahabang krimen ng dalawang mersenaryong yunit na ito ng bayarang AFP.	these two mercenary units of the corrupt AFP both have an equally long list of crimes.
<28>	Upang magmukhang malinis, naghuhugas-kamay ito sa kanyang mga krimen.	to look blameless, they are claiming innocence to the crimes they committed.
<29>	Sa kagustuhang takasan ang mga krimen nito, kunwa’y magre-retraining o magre-reshuffle upang makaiwas sa labis na pagkondena.	because they want to escape these crimes, they would be supposedly retrained or reshuffled to avoid excessive condemnation.
<30>	Gayunpaman, hindi makakaiwas sa paghuhukom ang mga may utang na dugo at berdugong kamay na ito ng AFP.	however, these blood-owing hands and killers of the AFP cannot escape judgement.
<31>	Hanggang sa kahuli- hulihang salinlahi ng mamamayang naghahanap ng hustisya, sisigaw at makikipaglaban ang mga kapamilya, kaibigan kamag- anak upang ihatid ang katarungan at hustisya sa pamamagitan ng Demokratikong Rebolusyon ng Mamamayan.	until the very last generation of people looking for justice, families, friends, and relatives will cry and fight to give them justice through the People's Democratic Revolution.
