<1>	(0.000-0.970)	<no-speech>	<no-speech>
<2>	(0.970-7.150)	<sta> sinabayan ng protesta ng ilang grupo ang pagsisimula ng Balikatan Exercises twenty sixteen .	the opening of Balikatan Exercises twenty sixteen was accompanied by protests of some groups .
<3>	(7.150-15.070)	<sta> binuksan sa Camp Aguinaldo ang balikatan na ang mga pagsasanay ay gaganapin sa iba't ibang lugar sa Luzon at Visayas .	balikatan whose exercises will be held in different parts of Luzon and Visayas was opened in Camp Aguinaldo .
<4>	(15.070-17.220)	<sta> makibalita tayo kay Chona Carreon .	let us hear from Chona Carreon .
<5>	(17.220-19.700)	<no-speech>	<no-speech>
<6>	(19.700-25.890)	pagresponde sa oras ng sakuna iyan daw ang sentro ng balikatan <sta> exercises ngayong taon .	response during period of calamity that is supposedly the center of balikatan exercises this year .
<7>	(25.890-32.220)	kaninang umaga nagtipon-tipon ang mga sundalo ng Pilipinas at America <sta> sa Camp Aguinaldo .	this morning the soldiers of the Philippines and America gathered in Camp Aguinaldo .
<8>	(32.220-35.214)	<sta> para sa opisyal na pagbubukas ng balikatan .	for the official opening of balikatan .
<9>	(35.214-46.700)	sina vice admiral Alexander Lopez ng Armed Forces of the Philippines <sta> at lieutenant general John Toolan ng U_S Marine Forces ang tatayong exercise directors .	Vice Admiral Alexander Lopez of the Armed Forces of the Philippines and Lieutenant General John Toolan of the U_S Marine Forces will serve as exercise directors .
<10>	(46.700-56.740)	<sta> sila rin ang magkasama noong isang taon kaya't magandang oportunidad daw ito para mapag-aralan pang muli <sta> ang mga nakitang kakulangan noong isang taon .	they were also together last year so this is supposedly a good opportunity to study again the inadequacies seen last year .
<11>	(56.740-66.670)	ilang sundalo mula sa bansang Australia <sta> Japan maging Brunei Canada Malaysia at iba pa ang nakatakdang mag-obserba sa training .	some soldiers from the countries Australia Japan even Brunei Canada Malaysia and others are set to observe the training .
<12>	(66.670-78.590)	<sta> ayon kay vice admiral Lopez itinuturing ang Pilipinas bilang least capable armed forces sa timog silangang Asya kaya't napakalaking tulong daw ng balikatan sa ating bansa .	according to Vice Admiral Lopez the Philippines is considered as least capable armed forces in Southeast Asia which is why balikatan is supposedly a big help to our country .
<13>	(78.590-84.390)	<sta> gaganapin ang iba pang military exercises sa Luzon Palawan at Panay Island .	other military exercises will be held in Luzon Palawan and Panay Island .
<14>	(84.390-90.000)	mayroong command post exercise na gagawin sa isang platform malapit sa Palawan .	there is a command post exercise to be held in a platform near Palawan .
<15>	(90.000-99.000)	<sta> dito pag-aaralan kung paano reresponde kung sakaling I take over ang isang bansa ang oil at gas plant ng Pilipinas .	to be studied here is how to respond in case a country takes over an oil and gas plant of the Philippines .
<16>	(99.000-110.410)	<sta> may mga susubukan ding high mobility rocket launchers at iba't ibang klase ng radio equipment na makakapaglabas ng maritime pictures sa dagat at sa himpapawid .	high mobility rocket launchers and different kinds of radio equipment that can release maritime pictures at sea and in the sky will be tested too .
<17>	(110.410-124.448)	paglilinaw ng mga namamahala sa balikatan exercises hindi lang nakatuon ang training sa problema ng bansa sa pinag-aagawang teritoryo sa West Philippine Sea kundi pati na sa iba pang mga scenario .	the management of the balikatan exercises clarify that the training is not only focused on the country's problem about the disputed territory in the West Philippine Sea but also on other scenarios .
<18>	(124.448-132.083)	the B_K exercise is designed not to address a particular concern but a whole lot in spectrum of warfare .	the B_K exercise is designed not to address a particular concern but a whole lot in spectrum of warfare .
<19>	(132.083-136.942)	we try to develop how we the armed forces especially would handle it .	we try to develop how we the armed forces especially would handle it .
<20>	(136.942-141.510)	<sta> tatlumpu't dalawang taon ng isinasagawa ang balikatan exercises .	the balikatan exercises have been conducted for thirty-two years .
<21>	(141.510-147.640)	<sta> layon daw nitong pag-igtingin ang pagtutulungan sa pagitan ng militar Pilipinas at America .	it supposedly aims to strengthen the cooperation between the military of the Philippines and America .
<22>	(147.640-154.520)	<sta> tutol naman sa balikatan ang ilang militanteng grupong nagprotesta malapit sa embahada ng America sa Maynila .	some military groups that protested near the American embassy in Manila are against balikatan .
<23>	(154.520-163.470)	<sta> ayon sa kanila paraan daw ito ng America para gamitin ang Pilipinas sa pagsulong umano ng pansariling interes sa Asya .	according to them it is America's way of using the Philippines to push for its own interests in Asia .
<24>	(163.470-165.083)	Chona Carreon ~ %incomplete	Chona Carreon %incomplete
