<1>	Mga sibilyan hinaharas, pinagbibintangang rebelde	civilians harassed, suspected as rebels
<2>	Nagpapatuloy ang mga atake sa karapatan ng mga militante, lider-obrero at kahit sa mga sibilyan.	attacks on the rights of militants, farmer-leaders and even civilians continue.
<3>	Bago matapos ang taong 2012, iniulat ng iba’t ibang grupong pangkarapatan sa iba’t ibang probinsiya ang panghaharas, pagsampa ng gawa-gawang mga kaso at pag-aresto sa kanila — sa ngalan ng giyera kontra-insurhensiya ng Oplan Bayanihan.	before the year 2012 ended, different rights groups in different provinces reported the harassment, filing of made-up cases and arrests on them - in the name of counter-insurgency war Oplan Bayanihan.
<4>	Isa na rito, ayon sa Kilusang Mayo Uno (KMU), sentro ng militanteng unyonismo sa bansa, si Rico Pepito, pangulo ng unyon sa Foremost Farms Inc. na pag-aari ng dambuhalang negosyanteng si Lucio Tan.	one of these, according to Kilusang Mayo Uno (KMU), center of militant unionism in the country, is Rico Pepito, president of the union in Foremost Farms Incorporated that is owned by business giant Lucio Tan.
<5>	Inaakusahan si Pepito na miyembro raw ng rebeldeng New People’s Army (NPA).	Pepito was accused a member of the rebel New People's Army (NPA).
<6>	Samantala, inireklamo rin ng KMU ang pagsampa sa gawa-gawang mga kaso laban sa mga lider-obrero nila na sina Ronald Ian Evidente, tagapagsalita ng KMU-Negros; Roy Velez, tagapangulo ng KMU-NCR; Amelita Gamara, pangalawang pangkalahatang kalihim ng KMU-NCR; at Hermenegildo Marasigan, tagapangulo ng KMU-Southern Tagalog na kinasuhan naman kaugnay sa isang kilos-protesta laban sa militarisasyon sa Timog Katagalugan.	meanwhile, the KMU also complained about the filing of made-up cases against their farmer-leaders Ronald Ian Evidente, spokesperson of KMU-Negros; Roy Velez, chairman of KMU-NCR; Amelita Gamara, second executive secretary of KMU-NCR; and Hermenegildo Marasigan, chairman of KMU-Southern Tagalog who was charged related to a protest against the militarization of Southern Tagalog.
<7>	Bago rin matapos ang taong 2012, ilegal na inaresto ng mga militar at kapulisan ang dalawang aktibista sa magkahiwalay na lugar.	and before 2012 was over, the military and police illegally arrested two activists from separate areas.
<8>	Inaresto ng mga puwersa ng Philippine National Police Region II si Rene Boy Abiva, isang social worker ng Department of Social Welfare and Development (DSWD) sa Tuguegarao City.	the forces of the Philippine National Police Region 11 arrested Rene Boy Abiva, a social worker of the Department of Social Welfare and Development (DSWD) in Tuguegarao City.
<9>	Miyembro rin ng Alliance of Concerned Teachers (ACT) sa Cagayan Valley si Abiva.	Abiva is also a member of the Alliance of Concerned Teachers (ACT) in Cagayan Valley.
<10>	Inaresto rin ang sibilyang si Oligario Sebas ng pinagsanib na puwersa ng Philippine Army at Philippine National Police noong Disyembre 25 sa Tubod, Manjuyod, Negros Oriental.	civilian Oligario Sebas was also arrested by the join forces of the Philippine Army and Philippine National Police on December 25 in Tubod, Manjuyod, Negros Oriental.
<11>	Napagkamalan umano si Sebas bilang isang “Felimon Mendrez” na isa raw na “mataas na lider ng NPA” na may pabuyang PhP5.25-Milyon.	Sebas was allegedly mistaken as one "Felimon Mendrez" who is supposedly a "top leader of the NPA" with a reward of PhP2.5 million.
<12>	Panghaharas sa lider-obrero	harassment of farmer-leaders
