aardvark mhanga
abakofu wazee
Abdullah Abdullah
Abidjan Abidjan
ability uwezo
abort aviya
about kadiri
about ya
about kuhusu
Abraham Abrahamu
Abraham Ibrahimu
abroad ng'ambo
abrupt dharura
absorb kufyonza
abstract ikisiri
abundance wingi
abunuwas abunuwas
abuse tayo
abuse tukano
abyss kuzimu
abyss shimo
acacia mshita
a ai
a asaiberi
a ai
a mwasaiberi
accelerator akselereta
accept kiri
accept sadiki
accident ajali
accomplish timia
accordion harimuni
accordion kodiani
account akaunti
accountant mhasibu
account hazina
account hesabu
Accra Accra
accurate sanifu
accusation madai
accusation mashitaka
accused mshtakiwa
accused washtakiwa
accuser mshtaki
accusers washtaki
ace ree
acknowledge hujumu
a corrupt
a person
a mfisadi
acquaintance rubaa
acre ekari
act igiza
acting uigaji
acting uigizaji
actions matendo
activist mwanaharakati
act kitendo
actor mwigaji
act sehemu
Acts of
Acts the
Acts Apostles
Acts Matendo
Acts ya
Acts Mitume
acts vitendo
act tenda
act tendo
act utendaji
Adam Adamu
Adam's apple
Adam's kikoromeo
adams apple
adams zoloto
addiction uraibu
addict kingwagu
addict mraibu
addicts vingwagu
add ongeza
address anuani
address anwani
Adele Kiadele
adhan adhana
adjectival tashbihi
adjective kiingizi
adjective kivumishi
adjective sifa
adjective tashbihi
administration police
administration askari
administration tawala
admiration abos
admission ruhusa
admission ya
admission kuingia
adultery zinaa
adultery zini
adulthood utu
adulthood uzima
adult mtu
adult mzima
adverb kielezi
adverb kisifa
adverbs vielezi
advice mawaidha
advice ushauri
advice waadhi
adviser mshauri
advisor mshauri
aegis egida
aegis egisi
aeroplane eropleni
aeroplane ndege
a few
a kadha
a few
a uchache
a wa
affixes viambishi
affix kiambishi
Afghani Mwafgani
Afghanistan Afghanistan
Afghanistan afuganistani
Afghanistan Afuganistani
afghanistans wafugani
Afghanis Waafgani
Afghan Mwafugani
a fifth
a humsi
a fool
a hambe
Africa afrika
Africa Afrika
African fish
African eagle
African fukombe
African fish
African eagle
African furukombe
African fish
African eagle
African kwazi
African fish
African eagle
African yowe
African hunting
African dog
African mbwa
African mwitu
African mourning
African dove
African kuyu
African mwafrika
African Mwafrika
Africans Waafrika
African Union
African Umoja
African wa
African Afrika
Afrikaans Kiafrikaans
afrika mwanaafrika
afro sunzu
after baada
afterlife ahera
afterlife akhera
afterlife jongomeo
against dhidi
against dhidi
against ya
against juu
against ya
agate kalkedoni
aged uzee
age hirimu
age miaka
agency uwakala
agenda agenda
agenda ajenda
agent agenti
agent ajenti
agents maajenti
agent wakala
age umri
agitator mchochezi
agitators wachochezi
agony dhiki
agree kubali
agreement agano
agreement maagano
agreement makubaliano
agreement mkataba
agreements maagano
agricultural officer
agricultural bwanashamba
agriculture kilimo
aids ukimwi
AIDS UKIMWI
aid usaidizi
ailment maradhi
aim gharadhi
aim lengo
aim mantiki
aims malengo
air hawa
air hewa
airline kampuni
airline ya
airline ndege
airplane eropleni
airplane ndege
air port
air kiwanja
air ndege
akhirah ahera
a large
a water
a body
a jito
albatross albatrosi
albino albino
albino maalbino
albino zeruzeru
album albamu
alcohol kileo
alcohol pombe
alcohol kali
alert chonjo
alert tahadhari
algebra aljebra
Algeria Algeria
Algeria Aljeria
Algerian Kialjeri
Algerian Kialjeria
Algerian Mwaljeria
Algerians Waaljeria
Algonquin Kialgonkwini
Algonquin Mwalgonkwini
Ali Ali
Alice Elisi
a little
a kidogo
alive hai
alliance fungamano
alligator aligatori
alligator aligeita
allow idhinisha
almond kungu
almond lozi
almond mlozi
almonds makungu
alms sadaka
a lot
a mengi
alot mengi
a lot
a sana
alphabet alfabeti
Alpha Centauri
Alpha Alpha
Alpha Centauri
also pia
altar altare
although ingawa
altitude kimo
aluminium alumini
always mara
always kwa
always mara
always sikuzote
a man
a mwanaume
amaranth rangi
amaranth ya
amaranth amarantho
amazement bumbuazi
amazement butaa
amazement butwaa
ambassador balozi
ambergris ambari
amber kaharabu
ambulance ambyulensi
amen amina
Amerca marekani
America Amerika
America marekiana
American dollars
American dola
American za
American kimarekani
American English
American Kiingereza
American cha
American Kimarekani
American Mmarekani
Americans Wamarekani
American Waamerika
American Wamarekani
Americas Marekani
Americas marekiana
amethyst amethisto
amethyst rangi
amethyst ya
amethyst amethisto
Amharic Kiamhara
a mix
a of
a small
a fish
a chengo
ammount kiwango
among miongoni
among mwa
ampersand ampasendi
amulet hirizi
analog Mfano
anal sex
anal kufira
ancestor mhenga
ancestors wahenga
anchor nanga
ancient a
ancient kale
ancient beer
ancient wanzuki
and na
Andora Andora
Andorran Mwandora
Andorrans Waandora
and so
and forth
and kadhalika
anemia safura
anemone shufari
anemone uapepo
angel malaika
anger ghadhabu
anger ghaidhi
anger hamaki
anger hasira
anger maya
Angola Angola
Angolan Mwangola
Angolans Waangola
animala home
animala faja
animal kinyama
animal mnyama
animals wanyama
animal waste
animal kinyesi
a ninth
a tusui
anklet furungu
anklet kikuku
anklet kugesi
Anna anna
anniversary maadhimisho
anniversary ya
anniversary miaka
anno Domini
anno baada
anno ya
anno Kristo
announcement tangazo
announce tangaza
annoyed udhika
annoy huni
annoy kera
anode anodi
anorexic kifyefye
anorexic vifyefye
another ingine
another ingineo
another nyingine
another one
another kingine
answer jawabu
answer jibu
answers majawabu
answers majibu
antagonism uadui
Antarctica Antaktika
anteater kiharara
anteater loma
antelope kulungu
antelope paa
antelope pala
antelope hala
antelope pofu
antelope swara
anthill kichuguu
ant hill
ant kiduta
anthill kishugu
ant hills
ant viduta
anticipate azimia
Antigua and
Antigua Barbuda
Antigua Antigua
Antigua na
Antigua Barbuda
Antigua Antigua
Antiguan Kiantigua
Antiguan Mwantigua
antler pembe-tawi
ant mchwa
ant msisimizi
ant siafu
ant sisimizi
anus kundu
anus mkundu
anvil baura
anvil fuawe
anxiety kukurukakara
anyhow segemnege
anything kitu
aorta aorta
apartment fleti
apartment ghorofa
a person
a with
a a
a bad
a heart
a tumbojoto
aphrodisiac mkuyati
aphrodisiac rimbwata
Apollo Apolo
apoplexy kiharusi
apostle mtume
Apostle mtume
apparatus zana
appealing wagivu
appeal rufaa
appease afiki
appendix faharasa
appetite ujapongo
apple juice
apple maji
apple ya
apple matofaa
apples matufaha
apple tofaa
apple tree
apple mtofaa
apple tufaha
appoint teuwa
approach karibia
appropriate mwafaka
approximate takriban
apricot aprikoti
april aprili
apron aproni
apron bwelasuti
Aquarius Dalu
Aquarius Ndoo
arab cloak
arab bushuti
Arabian mwaarabu
Arabian Mwaarabu
Arabians Waarabu
Arabian Waarabu
Arabia Uarabuni
arabic kiarabu
Arabic kiarabu
Arabic queen
Arabic malkia
Arabic wa
Arabic kiarabu
Arab Mwamarati
Arab Mwarabu
Arabs Waamarati
arbitration usuluhishi
archaeologist mwanaakiolojia
archaeology akiologia
archaeology akiolojia
archaic dinari
archipelago funguvisiwa
architecture majenzi
architecture ujenzi
area eneo
area janibu
areca mpopoo
Ares Aresi
Argentina Ajentina
Argentina Argentina
Argentinian Kiajentina
Argentinian Mwajentina
Argentinians Waajentina
argument ubishi
Ariadne Ariadina
Ariadne Ariana
Aries Hamali
Aries Kondoo
ark safina
armadillo kakakuona
armed jihami
Armenia Armenia
Armenian Kiarmenia
Armenian Mwarmenia
Armenians Waarmenia
armies majeshi
arm mkono
armor-piercing shot
armor-piercing kaptula
armour dirizi
armpit kwapa
arm pit
arm makwapa
arms mikono
army ant
army siafu
army jeshi
army men
army wanajeshi
army mwanajeshi
arrangement mpangilio
arrangement orodha
arrangements mipangilio
arrangment orohda
arrest kamata
arrest nasa
arrival ujaji
arrogantly shashimamishi
arrow head
arrow chembe
arrow mshale
arrowroot yugwa
arrow sign
arrow alama
arrow ya
arrow mshale
arrow signs
arrow alama
arrow za
arrow mishale
arrow signs
arrow alama
arrow za
arrow mshale
arrows mishale
arrow tora
Artemis Artemi
artery ateri
arthritis jongo
article makala
Artiodactyla Wanyama
Artiodactyla wenye
Artiodactyla kwato
Artiodactyla shufwa
artist mchoraji
artist msanii
artist mwanasanaa
artists wasanii
art sanaa
artwork sanaa
Arusha Arusha
ascend panda
ASEAN ASEAN
ASEAN Umoja
ASEAN wa
ASEAN Nchi
ASEAN za
ASEAN Asia
ASEAN ya
ASEAN Kusini-Mashariki
a seventh
a subui
ashes majivu
ash jivu
ash majivu
Asia asia
Asia Asia
a sixth
a sudusi
askari askari
ask kuomba
ask kuuliza
a spread
a thing
a cheneo
asprin asprini
assessment upimaji
asset mali
ass hole
ass mkundu
asshole m'kundu
ass holes
ass mikundu
assistant msaidizi
assistant naibu
assistants manaibu
assist timirya
associate mshirika
assortment anuwai
assortment mbalimbali
assume dhani
assurance hakikisho
assurity uhakiki
asthma pumu
astrologer mnajimu
astrology falaki
astrology ramli
astrology unajimu
astronaut mwanaanga
a strong
a man
a mbeberu
astronomy falaki
at all
at asilani
a tenth
a ushuri
atheist mkanamungu
atheist mkana
atheist mungu
atheist mkana-mungu
atheist mlahidi
Athena Athena
Athens Athene
a third
a theluthi
a third
a thuluthi
athlete mkimbiaji
athlete mwanariadha
athlete mwana
athlete riadha
athletes wanariadha
athletics riadha
a thousand
a kikwi
at karibu
at na
Atlantic Atlantiki
atlas atlasi
at least
at angalau
atmosphere angahewa
at night
at usiku
atom atomi
at once
at mara
attack vamia
attendance hudhurio
attribute sifa
auctioneer dalali
auction mnada
auction nadi
audience hadhira
August agosti
auk alka
aunt shangazi
Australia Australia
Australian English
Australian Kiingereza
Australian cha
Australian Australia
Australian Mwaustralia
Australians Waaustralia
Australians waustralia
Australian waustralia
Austria Austria
Austrian Mwaustria
Austrians Waaustria
authority mamlaka
author mwandishi
authors waandishi
autobiography tawasifu
automobile gari
automobile motakari
automobile bus
automobile motokaa
automobile motokari
automobile bus
autumn kipindi
autumn cha
autumn bubujiko
autumn majira
autumn ya
autumn pukutiko
autumn vuli
average wastani
aviation elimu
aviation ya
aviation rubani
avocado avocado
avocado mparachichi
avocado Mparachichi
await ngojea
awards matunuku
