query1117 Q0 MATERIAL_BASE-1B_61386111 1 -2.26083 indri
query1117 Q0 MATERIAL_BASE-1B_50794480 2 -2.29238 indri
query1117 Q0 MATERIAL_BASE-1B_49022181 3 -2.35343 indri
query1117 Q0 MATERIAL_BASE-1B_45686180 4 -2.36299 indri
query1117 Q0 MATERIAL_BASE-1B_85188085 5 -2.36736 indri
query1117 Q0 MATERIAL_BASE-1B_13012474 6 -2.384 indri
query1117 Q0 MATERIAL_BASE-1B_35094426 7 -2.38537 indri
query1117 Q0 MATERIAL_BASE-1B_97498163 8 -2.4195 indri
query1117 Q0 MATERIAL_BASE-1B_73611356 9 -2.42478 indri
query1117 Q0 MATERIAL_BASE-1B_70911939 10 -2.46429 indri
query1117 Q0 MATERIAL_BASE-1B_96762472 11 -2.46639 indri
