<1>	Kombe la Mapinduzi liamshe soka la Zanzibar Jan 17, 2013	Revolution Cup to uplift Zanzibar soccer. January 17, 2013.
<2>	MICHUANO ya mpira wa miguu ya Kombe la Mapinduzi iliyoisha wiki iliyopita katika kilele cha sherehe za mapinduzi mjini Unguja katika uwanja wa Aman, kwa timu ya Azam FC kutetea taji imenipa mwanga mkubwa katika soka la visiwani humo.	the Revolution Cup football tournament that ended last week at the peak of the revolutionary celebrations in Unguja town at the Aman grounds, with Azam FC team defending their title, has greatly enlightened me on soccer at the islands.
<3>	Kwa hakika nimeshuhudia soka la uhakika katika michuano ile hasa kutoka timu za visiwani, lakini katika kila timu wenyeji yaani za visiwani kulionekana kasoro moja tu ya uzoefu kwa wachezaji wake.	for sure I have witnessed credible soccer in that tournament especially from island teams though in every home team (that is from the islands) there appeared to be only one problem of experience among its players.
<4>	Miembeni, Jamhuri ya Pemba ambao ndiyo mabingwa wa soka Zanzibar na Bandari ndiyo timu wenyeji zilizoshiriki michuano hiyo.	Miembeni, Republic of Pemba who are the champions of soccer Zanzibar and Bandari are the home teams that participated in that tournament.
<5>	Lakini Miembeni ndiyo iliyofanikiwa kutinga hatua ya nusu fainali ikitolewa na Tusker FC ya Kenya.	but it is Miembeni that managed to reach the semi-finals being eliminated by Tusker FC of Kenya.
<6>	Kwa soka waliloonyesha Miembeni na Jamhuri ya Pemba nimevutiwa kutaka kuwaona wakiendelea zaidi na zaidi.	for the soccer exhibited by Miembeni and Republic of Pemba, I am interested to see them progress more and more.
<7>	Maana ya maneno haya ni kuwashawishi viongozi wa timu mbili hizi kuomba mechi nyingi za kirafiki na timu za Tanzania Bara ima kwa kuzialika au wao kuzifuata kila msimu wa ligi kuu unapoisha.	the meaning of these words is to compel the leaders of these two teams to request for many friendly matches with the Tanzania Mainland teams by inviting them or visiting the teams after the end of the league season.
<8>	Nimefuatilia kwenye kumbukumbu nimeona Miembeni ni timu kongwe kuliko hata baadhi ya timu zinazoonekana bora katika ligi kuu ya Tanzania Bara, Miembeni ilianzishwa mwaka 1945.	I have traced in the archives and seen Miembeni to be a much older team than some of the teams that appear great in the Tanzania Mainland premier league. Miembeni was formed in the year 1945.
<9>	Katika mafanikio yao tangu kuanzishwa Miembeni walishachukua ubingwa wa ligi kuu Zanzibar mwaka 1987, 2007 na 2008.	in their successes since inception, Miembeni have won the Zanzibar Premier League title in the year 1987, 2007 and 2008.
<10>	Halafu katika kombe la Mwalimu Nyerere wamechukua mara tatu mwaka 1985, 1986 na 1987.	then in the Mwalimu Nyerere Cup, they have won three times in the year 1985, 1986 and 1987.
<11>	Kikombe cha Mapinduzi wamechukua mara mbili mwaka 2008 na 2009.	they have won the Revolution Cup two times, in the year 2008 and 2009.
<12>	Aidha Miembeni FC walishiriki kombe la shirikisho (CAF) mwaka 2010, wakashiriki kombe la mabingwa barani Afrika (African Cup Winners) mwaka 1986,	either, Miembeni FC participated in the Confederations Cup (CAF) the year 2010, participated in the African Cup Winners in the year 1986
<13>	1987 na mwaka 1988.	1987 and the year 1988.
