<1>	(Inline, 0.000-0.437)	ahh .	ahh .
<2>	(Outline, 0.000-2.410)	<no-speech>	<no-speech>
<3>	(Inline, 0.437-1.486)	sikuelewi umesemaje ?	I don't understand you what have you said ?
<4>	(Inline, 1.486-2.686)	hebu rudia venye umesema .	repeat what you've said .
<5>	(Outline, 2.410-3.854)	<no-speech>	<no-speech>
<6>	(Inline, 2.686-3.190)	rudia .	repeat .
<7>	(Inline, 3.190-10.460)	<no-speech>	<no-speech>
<8>	(Outline, 3.854-7.620)	ahh nakuuliza ni timu gani na gani tuta- -- watakuwa wakicheza -- watakuwa wakicheza ?	ahh I'm asking you which teams we will -- will be playing -- will be playing ?
<9>	(Outline, 7.620-9.370)	<no-speech>	<no-speech>
<10>	(Outline, 9.370-9.820)	<no-speech>	<no-speech>
<11>	(Outline, 9.820-11.310)	<no-speech>	<no-speech>
<12>	(Inline, 10.460-11.030)	ehhe .	mm .
<13>	(Inline, 11.030-14.590)	<no-speech>	<no-speech>
<14>	(Outline, 11.310-11.920)	halo .	hello .
<15>	(Outline, 11.920-12.830)	<no-speech>	<no-speech>
<16>	(Outline, 12.830-15.510)	<laugh> ama hunishikanishi buda ?	or can't you understand me still dude ?
<17>	(Inline, 14.590-15.780)	halo nakusikia .	hello I can hear you .
<18>	(Outline, 15.510-16.770)	<no-speech>	<no-speech>
<19>	(Inline, 15.780-19.140)	<no-speech>	<no-speech>
<20>	(Outline, 16.770-17.430)	ehhe ?	mm ?
<21>	(Outline, 17.430-19.330)	<no-speech>	<no-speech>
<22>	(Inline, 19.140-19.780)	halo .	hello .
<23>	(Outline, 19.330-25.953)	nakuuliza <no-speech> -- nakuuliza ?	I'm asking you -- I'm asking you ?
<24>	(Inline, 19.780-23.070)	<no-speech>	<no-speech>
<25>	(Inline, 23.070-23.660)	ehhe .	mm .
<26>	(Inline, 23.660-28.700)	<no-speech>	<no-speech>
<27>	(Outline, 25.953-27.912)	<no-speech>	<no-speech>
<28>	(Outline, 27.912-28.350)	halo .	hello .
<29>	(Outline, 28.350-30.220)	<no-speech>	<no-speech>
<30>	(Inline, 28.700-29.300)	ehhe .	mm .
<31>	(Inline, 29.300-36.470)	<no-speech>	<no-speech>
<32>	(Outline, 30.220-33.420)	<sta> so watakuwa wakicheza hapo %incomplete	so they will be playing there in %incomplete
<33>	(Outline, 33.420-34.570)	<no-speech>	<no-speech>
