<1>	Mbinu za kuwashinda majambazi	methods of defeating criminals
<2>	Dar es Salaam.	Dar es Salaam.
<3>	Matukio ya watu kuvamiwa na majambazi na kuporwa fedha yamekuwa yakiripotiwa kila kukicha.	incidences of people being attacked by criminals and money stolen have been reported whenever it becomes dark.
<4>	Idadi kubwa ya wananchi wamekuwa wakivamiwa na kuporwa fedha.	a large number of citizens have been attacked and had money stolen.
<5>	Katika matukio hayo wapo ambao wameuawa, kujeruhiwa na wengine kupata ulemavu wa maisha.	in those incidents, there are some who have been injured and others being disabled for life.
<6>	Kutokana na kushamiri kwa matukio hayo mwandishi wetu amefanya utafiti wa jinsi ya kujiepusha kuingia katika janga hilo.	because of the spread of these incidents, our reporter has researched ways of avoiding getting into that menace.
<7>	Usitembee na fedha nyingi Unapobeba fedha nyingi unajiweka katika hatari ya kudhurika au hata kuuawa.	do not walk with a lot of money, when you carry a lot of money you are putting yourself at risk of being harmed or murdered.
<8>	Mhalifu anapofika kwako anachotaka ni kupata fedha, hivyo kumchelewesha maana yake ni kuhatarisha maisha.	when the criminal comes to you, what he wants to find is money and delaying him means a risk to your life.
<9>	Wahalifu wanaweza kupewa taarifa za wewe kuwa na fedha nyingi wakati fulani, au kutokana na kiwewe wahalifu wanaweza kukugundua kuwa umebeba kiasi kikubwa cha fedha na kukuvamia.	criminals can be given information about you having a lot of money at certain times or because of fear, the criminals may realize that you are carrying large sums of money and attack you.
<10>	Epuka kubeba fedha nyingi, fanya malipo kwa mafungu kidogokidogo mpaka ukamilishe malipo au ununuzi uliotaka kuufanya.	avoid carrying a lot of money, make payments in small portions till you finish the payment or shopping that you wanted.
<11>	Hakikisha uko salama Uhalifu unaweza kutekelezwa mahali popote, hivyo ni vyema kila wakati kuhakikisha mazingira uliyopo ni salama.	ensure you are safe, crime can be conducted anywhere so it is good to always ensure that the environment you are in is safe.
<12>	Kwa mfano unapohisi kuna mtu anakufuatilia, chukua hatua haraka ya kuondoka mahali hapo na kujisogeza unapoweza kupata msaada.	for example, if you feel that there is a person following you, take the action quickly to leave that place and move to where you can get help.
<13>	Fanya malipo kwa kadi, simu Malipo kwa njia za simu au kadi ni namna mojawapo ya kujikinga kwa sababu wahalifu hawawezi kuwa na muda wa kuchukua fedha iliyopo kwenye simu.	make payments using a card, phone, payments using phones or a card is among the ways of protection because criminals don't have time to take money available in the phone.
<14>	Wahalifu wanahitaji fedha za haraka ambazo haziwezi kuacha alama ya wao kukamatwa, mlolongo wa kutoa au kuhamisha fedha ndiyo usalama wako.	criminals need quick money and cannot leave signs of being arrested in the queue of removing or transferring money is your safety.
<15>	Kuwa makini na watu usiowajua Unaweza kukutana na mtu mgeni anayeonekana kutaka kukuzoea ghafla.	be careful with strangers, you can meet a new person that suddenly wants to be acquainted with you.
