<1>	Toto kusajili watano	Toto to recruit five
<2>	Imeandikwa na Alexander Sanga, Mwanza	written by Alexander Sanga, Mwanza
<3>	Imechapishwa: 09 Desemba 2016	published: December 09, 2016
<4>	UONGOZI wa timu ya soka ya Toto Africans ya Mwanza umesema utafanya usajili wa wachezaji watano ili kujiimarisha na mzunguko wa pili wa Ligi Kuu bara inayotarajiwa kuanza kutimua vumbi Desemba 17.	the management of Mwanza's Toto African's soccer team has said it will recruit five players to strengthen itself for the second round of the Mainland Premier League, which is expected to kick off on December 17.
<5>	Akizungumza na gazeti hili jana kocha msaidizi wa klabu hiyo Tim Jost alithibitisha kuwa wanahitaji kufanya marekebisho katika safu ya kipa, beki wa kati, mshambuliaji mmoja na mawinga wawili.	speaking to this newspaper yesterday, the team's assistant coach Tim Jost confirmed that they need to make improvements in the areas of keeper, center back, one striker and two wingers.
<6>	Alisema ana imani kubwa kuwa timu yake itafanya vyema na kubaki Ligi Kuu.	he said that he has a lot of faith that his team will do well and remain in the Premier League.
<7>	Timu hiyo imemaliza mzunguko wa kwanza ikiwa mkiani mwa msimamo wa ligi kwa kufikisha pointi 12 katika michezo 15.	the team finished the first round at the bottom of the league standings, attaining 12 points in 15 games.
<8>	Toto ilishinda mechi tatu dhidi ya Mwadui, Mtibwa na Kagera Sugar.	Toto won three matches against Mwadui, Mtibwa, and Kagera Sugar.
<9>	Pia timu hiyo ilitoka sare michezo mitatu dhidi ya African Lyon, JKT Ruvu na Ruvu Shooting.	the team also drew in three matches against African Lyon, JKT Ruvu and Ruvu Shooting.
<10>	Toto imefunga magoli tisa na kufungwa magoli 18.	Toto has scored nine goals and conceded 18 goals.
<11>	Ilipoteza michezo tisa dhidi ya Yanga,Simba,Azam, Mbeya City,Stand United,Tanzania Prisons,Ndanda Fc na Mbao Fc.	it lost nine matches against Yanga, Simba, Azam, Mbeya City, Stand United, Tanzania Prisons, Ndanda FC and Mbao FC.
