<1>	Wanne jela miaka 30 kwa ujambazi	four in jail for 30 years for robbery
<2>	Imeandikwa na Lucas Raphael, Tabora	written by Lucas Raphael Tabora
<3>	Imechapishwa: 11 Novemba 2016	published: 11 November, 2016
<4>	WATU wanne wamehukumiwa kifungo cha miaka 30 jela kila mmoja baada ya kutiwa hatiani kwa kosa la unyang'anyi wa kutumia silaha huku wengine wanne wakiachiliwa huru kutokana na kukosekana ushahidi.	four men have been sentenced to 30 years each in prison, after being found guilty of the offense of armed robbery, while four others were set free due to lack of evidence.
<5>	Waliopewa adhabu hiyo na Hakimu Mkazi Mfawidhi wa Mahakama ya Wilaya ya Urambo, Hamis Momba ni Juma Hilya, Moses Chiza, Mihambo Masanja na Charles Mabala waliokuwa wanakabiliwa na kesi tatu tofauti.	those punished by the supervising Resident Magistrate of the Urambo District Court, Hamis Momba, are Juma Hilya, Moses Chiza, Mihambo Masanja and Charles Mabala, who were also facing three other different cases.
<6>	Kabla ya kutoa adhabu hiyo, Hakimu Momba aliwaachilia huru Esta Kija, Pili Masanja, Maligita Raban na George Moses kutokana na kukosekana kwa ushahidi wa kuwatia hatiani kuhusu uhalifu huo.	before handing down the punishment, Judge Momba released Esta Kija, Pili Masanja, Maligita Raban and George Moses due to lack of evidence to convict them of the crime.
<7>	Katika kesi ya kwanza iliyokuwa inawahusisha watuhumiwa watano, Hakimu Momba aliwahukumu kifungo cha miaka 30 jela Juma Hilya, Moses Chiza na Mihambo Masanja kwa kosa la unyang'anyi wa kutumia silaha.	in the first case involving five suspects, Judge Momba sentenced 30 years in jail to Juma Hilya, Moses Chiza and Mihambo Masanja, for the crime of robbery using weapons.
<8>	Awali ilidaiwa na Mwendesha Mashitaka, Mkaguzi wa Polisi, Philibert Pimma kuwa Mei 23, mwaka huu saa nane usiku kijiji cha Kaswa, washtakiwa wakiwa na bunduki mbili aina ya Short gun na gobori walivamia nyumbani kwa Norbet Seleste na kumpora Sh 1,860,000.	initially, it was alleged by the prosecutor, police inspector Philibert Pimma, that on May 23 this year at two o'clock in the morning in the village of Kaswa, the accused, with two hand pistols and a muzzle-loader gun, invaded Norbet Seleste's home and robbed him of 1,860,000 shillings.
<9>	Washitakiwa Juma Hilya na Mihambo Masanja walihukumiwa tena kwenda jela miaka 30 baada ya mahakama hiyo kuwatia hatiani kwa kosa lingine la unyang'anyi wa kutumia silaha walilotenda Mei 10, mwaka huu ambapo walipora fedha taslimu Sh 4,440,000 mali ya Nchilula Elias ambaye ni mkazi wa kijiji Meza, wilaya ya Urambo.	the accused, Juma Hilya and Mihambo Masanja, were sentenced again to 30 years in jail, after the court found them guilty of another offense of robbery using weapons that they did on May 10th this year, where they robbed 4,440,000 shillings in cash money, the property of Nchilula Elias who is a resident of Meza Village, Urambo District.
<10>	Mahakama hiyo pia ilimhukumu kutumikia adhabu ya kifungo cha miaka 30 jela Charles Mabala baada ya kumtia hatiani kwa kosa la unyang'anyi wa kutumia silaha kosa ambalo alitenda Julai 19, mwaka huu.	the court also sentenced Charles Mabala to serve the punishment of 30 years in jail, after finding him guilty of the offence of robbery using weapons, an offense he did on July 19 this year.
<11>	Awali, upande wa mashitaka ukiongozwa na Mkaguzi wa Polisi, Phillibeth Pimma aliiambia mahakama hiyo kuwa siku hiyo saa moja usiku katika kijiji cha Songambele alipora pikipiki namba MC 492 AUN, simu mbili za mkononi na fedha taslimu Sh milioni moja mali ya Seleman Almas na kabla ya wizi huo alimtishia kumpiga risasi kwa bunduki.	initially, the prosecution side, led by the police investigator Phillibeth Pimma, told the court that, on that day at seven o'clock in Songambele Village, he robbed a motorbike, number MC 492 AUN, of two mobile phones and one million shillings in cash, property belonging to Seleman Almas, and before the theft he threatened to shoot him with a gun.
