<1>	(0.000-1.635)	<no-speech>	<no-speech>
<2>	(1.635-20.220)	kufuatia <hes> kuibuka <sta> kwa wimbi la mauaji ya watu katika manispaa ya Songea mkoani Ruvuma wakaazi wa manispaa hiyo leo wameandamana hadi kwa mkuu wa wilaya ya Songea kupinga vitendo hivyo vya kikatili huku wakilitaka jeshi la polisi mkoani humo <breath> kuhakikisha linawakamata watuhumiwa wote na kuwafikisha mbele ya sheria .	following the emergence of a wave of people's killings in Songea municipality Ruvuma province the residents of the municipality have today demonstrated up to the head of Songea district to protest those brutal acts while urging the the police force in that province to ensure that it arrests all suspects and brings them before the law .
<3>	(20.220-23.340)	<sta> taarifa ya Emmanuel Msigwa inasomwa hapa studio .	Emmanuel Msigwa's report is being read in the studio .
<4>	(23.340-43.500)	<sta> maandamano ya wakaazi hao yanafuatia kuuawa kwa kukatwa napanga kijana Bakari Ali mwenye umri wa miaka ishirini <sta> mkaazi wa Lizaboni mjini Songea ikiwa ni tukio la tano la mauaji mfululizo katika maeneo ya Ruhuwiko Lizaboni <sta> Lilambo na Mwengemshindo kuanzia Novemba mwaka jana .	the demonstration of those residents follows the killing by being cut with a machete of Bakari Ali a youth aged twenty years who is a resident of Lizaboni in Songea town being the fifth incident in a series of killings in the areas of Ruhuwiko Lizaboni Lilambo and Mwengemshindo from November last year .
<5>	(43.500-55.238)	<sta> wakiwa katika eneo la tukio la mauaji yaliyotokea usiku wa kuamkia leo baadhi ya wakaazi wa manispaa hiyo <sta> wameomba mamlaka husika kuthibiti uhalifu huo dhidi ya maisha ya binadamu .	while at the area of the killing incident that occurred yesterday night a section of the residents of the municipality have asked the concerned authorities to control that crime against human life .
<6>	(55.238-57.200)	hivi leo ni msiba wangapi leo ?	what is the count of this tragedy today ?
<7>	(57.200-60.890)	matukio ya jana yatokea huku huku <breath> hivi serikali iko wapi ?	yesterday's incidents happened here and so where is the government ?
<8>	(60.890-63.492)	<sta> wa- -- si wananchi wataishi kwa starehe gani ?	what comfort will the citizens live in ?
<9>	(63.492-70.963)	<breath> wanamama sa yote wanashindwa hata kwenda shambani saa hizi hapa wana hofu <sta> <breath> kutoka kwenda kukojoa saa hizi hapa wana hofu hivi tutaishi mazingira gani ?	women all the time are unable to even go to the farm and they are right afraid to go outside for a short call and they are right now afraid asking what kind of environment will we live in ?
<10>	(70.963-81.768)	<lipsmack> naomba jamani serikali itusaidie tumechoka . <int> <sta> yaani kila siku ni mauaji kila siku ni mauaji tuna- -- yaani tumechoka kwa kweli yaani tumesikitika sana huyu kijana ni mdogo .	I am pleading with the government to help us for we're tired we face killings every single day so we're tired for sure and we're very shocked because this boy is young .
<11>	(81.768-82.590)	<no-speech>	<no-speech>
<12>	(82.590-100.445)	<sta> wakati kamera ya Channel kumi ikitoka eneo la tukio nakwenda ofisi ya kamanda wa polisi mkoa wa Ruvuma <sta> katika ofisi ya mkuu wa wilaya ya Songea ikakutana na mamia ya wakaazi wa manispaa hiyo ambao walikuwa wakiandamana <sta> kwa kile wanachodai kutafuta ufumbuzi wa usalama wa maisha yao .	when Channel Ten's camera left the area of the incident to go to the office of the police commander Ruvuma province in the office of the head of Songea district it met hundreds of residents of the municipality who were demonstrating for what they claimed as seeking a solution to the safety of their lives .
<13>	(100.445-100.830)	<no-speech>	<no-speech>
<14>	(100.830-110.692)	<sta> kwa hivyo tutakachofanya hapa <breath> wakati polisi wakiongeza nguvu ya doria <sta> tutahakikisha kwamba tunafanya ulinzi <int> katika kila <sta> mtaa .	therefore what we will do here when the police increases the patrol strength is that we'll ensure that we're providing protection in every neighborhood .
<15>	(110.692-113.644)	ni wimbi jipya lililokuja kwa ghafla halikuwepo mwaka njana .	it is a new wave that came by unexpectedly it wasn't there last year .
<16>	(113.644-114.628)	ndiyo .	it is so .
<17>	(114.628-115.233)	si tunakubali ?	don't we agree ?
<18>	(115.233-115.927)	ndiyo .	it is so .
<19>	(115.927-122.094)	kwa sababu limekuja nami mi nimejieleza <sta> tutafanya vile tulivyofanya wakati wa kumaliza mambo ya nondo .	because it came and I have explained that we will do as we did during the time of eliminating moth's issues .
<20>	(122.094-123.390)	<no-speech>	<no-speech>
<21>	(123.390-128.337)	<sta> <breath> kwa upande wake mkuu wa polisi mkoa wa Ruvuma amezungumzia tukio hilo .	on his side the head of police Ruvuma province has talked about that incident .
<22>	(128.337-138.060)	watu wameanzisha na imani za ushirikina kwamba <sta> hawa watu wanaondolewa viungo vya mwili <sta> hata sehemu za siri .	people have begun having superstitious beliefs that these people's body parts and even private parts are being removed .
<23>	(138.060-149.306)	uchunguzi unaofanywa kwa hospitali <sta> postmortem zote zilizofanyika <no-speech> hakuna mtu ambaye ameondolewa sehemu za siri .	for the examinations that is done at the hospital and all postmortems done there is no one whose private parts has been removed .
<24>	(149.306-150.660)	<no-speech>	<no-speech>
<25>	(150.660-153.459)	<sta> Linah Dennis Channel kumi Dar es Salaam .	Linah Dennis Channel Ten Dar es Salaam .
