<1>	(0.000-1.801)	<no-speech>	<no-speech>
<2>	(1.801-4.670)	(()) ambayo pale imetuvunja mbavu sana .	(()) whereby it really made us laugh so much .
<3>	(4.670-9.070)	sasa Mada inaendelea hata kama <laugh> unacheka ende- -- anga- -- tazama ukweli .	now the topic continues even if you are -- laughing -- see the truth .
<4>	(9.070-15.203)	<sta> imani ya kinyume na kutegemea nguvu za Mungu inatokana kwa shetani .	faith that is contrary to relying on God's strength stems from the devil .
<5>	(15.203-19.385)	shetani hapendi <sta> mtu afanye kitu afanikiwe na aishi vizuri .	Satan does not like someone who does something successfully and lives well .
<6>	(19.385-20.419)	yeye ni bwana kinyume .	he is a contrary master .
<7>	(20.419-22.028)	ni mwaribifu masaa yote .	he is a destroyer every time .
<8>	(22.028-26.460)	kwa hivyo anakupa imani yake ili ufanye uharibifu <sta> ili naye apate wafuasi .	therefore he gives you his faith in order for you to do evil so that he also gets followers .
<9>	(26.460-35.123)	nami naomba nimwambie kabisa kwamba anapozungumzia mambo ya Mungu kumbuka Mungu ana wafuasi wake na shetani ana wafuasi wake ndiyo maana ameweka vitu viwili wewe mwenyewe amekupa ufahamu wa kujua jema na baya .	and I beg to tell him explicitly that when he talks about God to remember that God has his followers and Satan has his followers that is why he has set two things and has given you the knowledge to know what is good and evil .
<10>	(35.123-36.800)	<overlap> si ndiyo ?	isn't that so ?
<11>	(36.800-45.155)	<sta> (()) si wa shetani ile ya matumizi -- yale sio ya shetani yule wa matumizi ndiyo mabaya halafu ni u- ni kwamba ninaposema kwamba huyu ameua sijui anaishi kwa shetani <sta> .	(()) not of the devil of use -- those are not of the devil of use are the worst and then it's that when I say that this one has killed I don't know if he lives with the devil .
<12>	(45.155-50.790)	kumbuka hata ukitukana tu hata ukinena neno baya ukamwazia mwenzako dhambi moja inalingana na dhambi zote .	remember even if you just insult even if you say a bad thing wish ill on your brother all sins are equal .
