<1>	Kilimanjaro Queens yajinoa kwa Burundi	Kilimanjaro Queens sharpens itself on Burundi.
<2>	Imeandikwa na Vicky Kimaro	written by Vicky Kimaro.
<3>	Imechapishwa: 08 Septemba 2016	published: 08, September 2016.
<4>	KIKOSI cha timu ya soka ya taifa ya wanawake ya Bara, Kilimanjaro Queens leo kinatarajiwa kushuka dimbani kumenyana na Burundi katika mechi ya kirafiki kwenye uwanja wa Kaitaba, Bukoba.	the national women's soccer team of Bara, the Kilimanjaro Queens, is expected today to drop into the field to face Burundi in a friendly match on the field in Kaitaba, Bukoba.
<5>	Kocha mkuu wa timu hiyo, Sebastian Nkoma alisema jana kwa njia ya simu kuwa mchezo huo ni mahususi kwa ajili ya kujiandaa na michuano ya Chalenji kwa nchi za Afrika Mashariki na Kati inayofanyika kwa mara ya kwanza.	the head coach of the team, Sebastian Nkoma, said yesterday by phone that the game is specifically for the challenge tournament of East and Central Africa and is taking place for the first time.
<6>	Michuano hiyo iliyoandaliwa na Baraza la vyama vya soka kwa nchi za Afrika Mashariki na Kati (CECAFA) imepangwa kufanyika Septemba 11 mpaka 20, mwaka huu.	the tournament, organized by the Council of East and Central Africa football association, is planned for September 11th to 20th this year.
<7>	Kocha Nkoma aliliambia gazeti hili kwamba ana imani kikosi chake kitarejea nchini na ubingwa.	coach Nkoma told this newspaper he has faith his squad will come back to the country as champions.
<8>	Kilimanjaro Queens ipo Bukoba ilipoweka kambi ya maandalizi tangu juzi.	the Kilimanjaro Queens is in Bukoba where it has set up a preparation camp since the day before yesterday.
<9>	Burundi na Tanzania ziko makundi tofauti kwenye michuano hiyo.	Burundi and Tanzania are in different groups in the championships.
<10>	Kwa mujibu wa CECAFA, Tanzania ambayo inaongoza kwa ubora wa viwango vya soka kwa timu za wanawake katika ukanda huo, imepangwa kundi B pamoja na Rwanda na Ethiopia wakati kundi A lina timu za Kenya, Burundi, Zanzibar na wenyeji Uganda.	according to CECAFA, Tanzania, which is leading in quality standards in women's soccer for that region, has been put in group B together with Rwanda and Ethiopia while group A has the teams from Kenya, Burundi, Zanzibar and the locals in Uganda.
<11>	Tanzania itafungua michezo hiyo kwa kucheza na Rwanda Septemba 12, 2016 kabla ya kucheza na Ethiopia Septemba 16, 2016.	Tanzania will open the game by playing with Rwanda on September 12th, 2016 before playing Ethiopia on September 16th, 2016.
<12>	Rwanda na Ethiopia zitacheza Septemba 14, 2016 wakati kundi A Zanzibar itakata utepe kwa kucheza na Burundi na siku hiyohiyo, Uganda itacheza na Kenya.	Rwanda and Ethiopia will play on September 14th, 2016, while in group A, Zanzibar will cut the tape by playing Burundi and on the same day, Uganda will play Kenya.
<13>	Michezo mingine ya kundi A itakuwa ni kati ya Burundi na Kenya zitakazocheza Septemba 13, 2016 ambako pia Zanzibar itacheza na Uganda.	the other games in group A will be between Burundi and Kenya that will be played on September 13th, 2016 where Zanzibar will also play against Uganda.
<14>	Septemba 15, Kenya itacheza na Zanzibar na Uganda itafunga hatua ya makundi kwa siku hiyo kwa kucheza na Burundi.	on September 15th, Kenya will play against Zanzibar and Uganda and will close the move for the groups that day by playing against Burundi.
<15>	Nusu fainali itafanyika Septemba 18, kabla ya fainali kufanyika Septemba 20, 2016 ikitanguliwa na mchezo wa kusaka mshindi wa tatu na nne.	the semi final will take place on September 18th, before the finals taking place on September 20th, 2016 and will be preceded by the game for third and fourth place.
<16>	Michuano ya wanawake inafanyika kwa mara ya kwanza, jambo linaloleta tafsiri kuwa inaweza kuinua soka la wanawake kwa ukanda huu kwani kwa muda mrefu nchi zimekuwa hazina cha kushiriki ukiondoa mechi za michuano ya Caf, Fifa na All African Games.	the women's championships will take place for the first time, a matter that is bringing about the interpretation that it could uplift women's soccer in this region because, for a long time, countries have not had anything to participate in when you remove the tournament matches of CAF, FIFA and all African games.
