<1>	(0.000-2.278)	<no-speech>	<no-speech>
<2>	(2.278-21.460)	pamoja na mafunzo hayo hifadhi za kusini hususan Kituro na Ruaha zimenufaika kwa vifaa mbalimbali vya kiulinzi kwa ajili ya askari wa wanyama pori ikiwamo magari ya doria huku hifadhi ya Ruaha ikipata mtambo wa kisasa wa kuchonga na kuboresha barabara hifadhini <breath> uliogharimu takriban shilingi za Kitanzania milioni mia sita .	together with that training the Northern conservancies especially Kituro and Ruaha have benefited with different security equipment for wildlife officers including patrol vehicles while Ruaha got a machine for grading and improving the roads in the conservancy that cost approximately Tanzanian shillings six hundred million .
<3>	(21.460-54.660)	mwezi May mwaka wa elfu mbili na kumi na nne mkuu washirika la U_N_D_P bi Helen Clark <breath> alisafiri kutoka Marekani hadi Ifaha kujionea maendeleo ya mradi huo na baada ya kupata taarifa na kutembezwa kujionea barabara zilivyoimarishwa na greda <breath> lililotolewa na U_N_D_P kupitia mradi wa SPANEST na pasi kumumunya maneno alisema ameridhishwa na juhudi za mradi huo katika kupambana na ujangili pamoja na kuboresha hifadhi hizo kwa kutoa mafunzo kwa askari <breath> watakaokuwa wanaongoza wageni kwa ajili ya kuhakikishia wageni usalama wakiwa mapori ya akiba na hifadhini .	in the month of May of two thousand and fourteen the head of U_N_D_P agency missus Helen Clark traveled from America to Ifaha to see for herself that project and after getting information and being shown around to see for herself how the roads had been improved with the grader that was given by U_N_D_P through the SPANEST project and without mincing words she said that she is satisfied with the efforts of that project in fighting poaching together with improving those conservancies by giving the training to guards who will be leading visitors in order to ensure that visitors are safe while in the reserve and in the conservancy .
<4>	(54.660-70.037)	(()) <sta> but am very satisfied really really quite excited by it because <hes> when we stopped by the right side and spoke to the rangers who were there <hes> A colleague from I_C_C_F said that what are your greatest needs ?	(()) but am very satisfied really really quite excited by it because when we stopped by the right side and spoke to the rangers who were there A colleague from I_C_C_F said that what are your greatest needs ?
<5>	(70.037-72.660)	and I said training and equipment .	and I said training and equipment .
<6>	(72.660-74.097)	so what is SPANEST doing ?	so what is SPANEST doing ?
<7>	(74.097-77.110)	its starting to supply training and equipment .	it's starting to supply training and equipment .
<8>	(77.110-92.494)	<sta> <hes> clearly <hes> there -- more needs to be done and hopefully if we can exert A range of purpose about this kind of work more can be done <sta> to bring all the equipment that is needed <hes> across the -- the range of force <hes> in Tanzania .	clearly there -- more needs to be done and hopefully if we can exert A range of purpose about this kind of work more can be done to bring all the equipment that is needed across the -- the range of force in Tanzania .
<9>	(92.494-119.637)	<int> <hes> on the training side also I -- we just had A very -- very good briefing <hes> on the training of those rangers who will accompany the walking tourist and talking to the two rangers who have been in that training they said that what was different for them was knowing about the psychology of the animals knowing about the psychology of the people knowing what was safe to do and (()) .	on the training side also I -- we just had a very -- very good briefing on the training of those rangers who will accompany the walking tourist and talking to the two rangers who have been in that training they said that what was different for them was knowing about the psychology of the animals knowing about the psychology of the people knowing what was safe to do and (()) .
<10>	(119.637-141.265)	<hes> now fifteen years ago I did A walking tour in the Tarangiri <hes> conservation area and also in na area where (()) my walking tour I always heard <sta> Leisha park ranger with A gun was the group and now I know that the training of these rangers has gone up several notches with this kind of programme .	now fifteen years ago I did a walking tour in the Tarangiri conservation area and also in an area where (()) my walking tour I always had Leisha park ranger with a gun was the group and now I know that the training of these rangers has gone up several notches with this kind of program .
<11>	(141.265-154.250)	so I'm very excited and I think it's A <hes> -- it's A message that needs to be going up that Tanzania <sta> is making this big effort to really professionalize the training of the guards to keep the visitors as safe as possible .	so I'm very excited and I think it's a -- it's a message that needs to be going up that Tanzania is making this big effort to really professionalize the training of the guards to keep the visitors as safe as possible .
