<1>	(0.000-1.803)	<no-speech>	<no-speech>
<2>	(1.803-13.180)	waziri wa katiba na sheria daktari Asha-Rose Migiro amewataka wananchi kuwafichua watumishi wa idara ya mahakama wanaokiuka maadili ikiwamo kuomba na kupokea rushwa .	the minister for constitutional law Doctor Asha-Rose Migiro has urged citizens to reveal employees of the court who violate ethics including soliciting and receiving bribes .
<3>	(13.180-18.555)	ili wachukuliwe hatua za kisheria badala ya kulalamikia kukithiri kwa vitendo hivyo .	so that legal measures can be taken against them instead of complaining about the increase of those actions .
<4>	(18.555-19.690)	<no-speech>	<no-speech>
<5>	(19.690-26.330)	daktari Migiro ametoa kauli hiyo wakati wa akifungua mkutano mkuu wa mwaka wa majaji nchini unaofanyika jijini Mwanza .	Doctor Migiro made this statement while opening the yearly general meeting of judges in the country taking place in Mwanza .
<6>	(26.330-31.115)	na kuwataka watumishi hao kutekeleza majukumu yao kwa uadilifu .	and urged the servants to execute their duties with integrity .
<7>	(31.115-35.164)	shuhuda wetu wa huko na mwandishi Amiku Sibutunga mwenye taarifa hii kutoka Mwanza .	our witness and writer from there Amiku Sibutunga with news from Mwanza .
<8>	(35.164-37.390)	<no-speech>	<no-speech>
<9>	(37.390-53.160)	-ji nchini wamekutana jijini Mwanza kwenye mkutano wao mkuu wa mwaka unaolenga kutathmini utendaji wao wa kazi katika kipindi cha mwaka moja uliopita ikiwa ni pamoja na kuweka mikakati ya namna ya kuimarisha utendaji wao wa kazi .	in the country they have met in Mwanza at their annual general meeting aiming to evaluate their work performance for the past one year together with putting strategies on how to improve their work performance .
<10>	(53.160-64.444)	jaji mkuu Mohammed Chande Othman ametumia fursa hiyo kubainisha baadhi ya changamoto zinazoikabili mahakama <breath> hususan katika swala zima la utoaji wa haki .	Chief Justice Chande Othman has used this opportunity to reveal some of the challenges facing the court especially in the whole issue of issuing justice .
<11>	(64.444-78.660)	moja katika <no-speech> funguo ya -- ya kufanikiwa ni kufanya kazi kwa kutumia <no-speech> <hes> mawasiliano <hes> na -- na teknolojia .	one among the keys to success is working through using communication and -- and technology .
<12>	(78.660-86.830)	haiwezekani bado tunaendelea Tanzania kuandika majaji mwenendo wa mashauri bado kwa mkono .	it is not possible that in Tanzania we continue to still employ counsel judges manually .
<13>	(86.830-89.395)	eh hu- -- hiyo ni mambo yamepitwa na wakati .	yes -- those are things that are outdated .
<14>	(89.395-95.720)	lalamiko moja ni nakala za hukumu <hes> lakini kuna mahakama mingi za mwanzo hazina umeme .	one of the complaints is on the judgement copies but there are many initial courts that have no electricity .
<15>	(95.720-100.574)	lakini mahakama inafanya nini katika kupunguza tatizo la ucheleweshaji wa kesi ?	but what is the court doing in reducing the problem of delaying of cases ?
<16>	(100.574-109.227)	muda wa kutoa haki pia tumekubaliana kwamba kesi mahakama kuu muda mrefu sana usizidi miaka miwili .	we have agreed on the period for issuing justice that the longest time for a case at the high court should not exceed two years .
<17>	(109.227-120.413)	lakini kesi nyingi kwa mfano mahakama ya biashara mahakama kuu kitengo cha biashara kwa sheria ni miezi kumi eh tumesema mahakama za mwanzo kesi isidumu miezi sita .	but many cases for example in the commercial courts the commercial department of the high court in law should be ten months yes we have said a case should not last six months at the initial courts .
<18>	(120.413-121.560)	uhai wa kesi .	the life of a case .
<19>	(121.560-123.879)	mahakama mwanzo isidumu miezi sita .	it shouldn't last six months at the initial court .
<20>	(123.879-130.060)	eh mahakama ya hakimu mkaazi na mahakama ya wilaya isizidi miezi kumi na nane .	yes it shouldn't exceed eighteen months at the magistrate court and at the district court .
<21>	(130.060-141.280)	waziri wa katiba na sheria daktari Asha-Rose Migiro amefungua mkutano huo kwa niaba ya Rais Jakaya Kikwete na kuhimiza uadilifu miongoni mwa watumishi wa mahakama .	the minister for constitutional law Doctor Asha-Rose Migiro has opened that meeting on behalf of President Jakaya Kikwete and urged integrity among the servants of the courts .
<22>	(141.280-154.380)	ni nyi mnafahamu wazi kuwa haki ni eneo muhimu na utawala wa sheria ni eneo linalogusa uhai na ustawi wa jamii na ni eneo linalogusa utulivu na utangamano wa taifa .	you understand clearly that justice is an important area and the administration of justice is an area that touches on the life and social welfare and it is an area that touches on serenity and unity of the nation .
