<1>	(0.000-2.382)	<no-speech>	<no-speech>
<2>	(2.382-19.190)	na kipato cha wanawake wanaoishi maeneo ya vijijini wilayani Subawanga na Kalambo mkoani Rukwa kimekua kikiongezeka katika siku za hivi karibuni baada ya wanawake hao kugundua na kuanza kuwa -- kuuza bidhaa muhimu aina ya Chikanda ambayo ni nyama ya asi kwa wenyeji wa mkoa huu .	the earnings of the women living in the areas of villages in the district of Subawanga and Kalambo in the Rukwa province have been increasing recently after those women realized and started to be -- to sell important products in the form of chikanda which is a forbidden meat in the residents of this province .
<3>	(19.190-28.180)	<breath> nyama hiyo inayo patikana kwa kuchimbwa ardhini kutokana na mizizi ya mimea moja ambao hutoa mizizi ya aina yake na imeonekana kuteka soko <int> kwa wanawake hao .	that meat is found by being dug from the ground as a result of the roots of one type of plant that produces unique roots and it seems to fetch the market for these women .
<4>	(28.180-32.859)	wamebaini kuwa inawapa faida zaidi ya mara ishirini ya zao la mahindi .	they have realized that it gives them profits more than twenty times the maize produce .
<5>	(32.859-37.080)	Sami Juma Kisika kutoka Rukwa na aina hiyo ya nyama .	Sami Juma Kisika from Rukwa and that type of meat .
<6>	(37.080-39.004)	<no-speech>	<no-speech>
<7>	(39.004-49.380)	ukikiona kwa macho utadhani kuwa ni kitu kisicho faa kuliwa <int> lakini amini kuwa Chikanda ndiyo mboga pekee ambayo inapendwa kuliko chochote <int> na wenyeji wa mkoa wa Rukwa .	by looking at it you may think that it is something that is not fit to eat but believe that chikanda is the only vegetable that is loved by residents of Rukwa province more than anything .
<8>	(49.380-63.680)	ambao wako radhi hata kukuwachia nyama ya ng'ombe au samaki yamkini hata kitoweo kingine chochote lakini apate Chikanda na hata ukihitaji -- ukihitaji mke pasipo kula nyama hii ya kienyeji basi utakuwa hutoshelezi kwa kuitwa mkwe .	who are contented to even leave for you cow's beef or fish probably even any other relish but to get chikanda and even if you need -- if you need a wife without eating this traditional meet then you will not be enough to be called in-law .
<9>	(63.680-64.696)	<no-speech>	<no-speech>
<10>	(64.696-85.360)	taabu kubwa ya Chikanda ni kupatikana kwake ambako itakulazimu kupandisha vilima na mabonde ili uweze kupata -- kuenda kupata mizizi ambayo huchimbwa na kuenda kupondwa ikiwa ni hatua ya awali ya maandalizi ya nyama hiyo tamu kwa wenyeji wa mkoa wa Rukwa kama anavyo elezea bi Devota Salamba mkaazi wa kijiji cha Mikongoko ambaye ni muuzaji mkubwa wa bidhaa hii .	the major problem of chikanda is its availability which will force you to climb mountains and hills so that to get -- to go to get the roots which are dug then crushed as the preliminary steps of the preparation of that delicious meat for the residents of Rukwa province as she explains Miss Devota Salamba resident of Mikongoko village who is a big seller of this product .
<11>	(85.360-92.689)	<sta> ukiitwanga unatengeneza -- unachukua magadi na ya -- na kaandika yana chui -- unachuja .	when you crushed it you are making -- you take the soda and of -- and kneaded have fluids -- you compress .
<12>	(92.689-96.067)	ukiyachuja magadi <sta> juu namna hii .	if you compress soda on it this way .
<13>	(96.067-101.001)	natenga motoni ukitenga motoni nachanganya <sta> Chikanda na karanga .	I set aside in the fire if you set aside in the fire I mix chikanda with groundnut .
<14>	(101.001-102.141)	<no-speech>	<no-speech>
<15>	(102.141-106.611)	ukichanganya karanga na Chikanda <sta> ndipo namna hii .	when you mix groundnuts with chikanda it is then this form .
<16>	(106.611-110.059)	unaanza kukoroga unakoroga unakoroga inachemka .	you start to stir you stir you stir it boils .
<17>	(110.059-112.908)	ikichemka ndipo inaganda .	when it boils it then holds together .
<18>	(112.908-117.087)	ikiganda <no-speech> namna hii unaweka sinia juu .	when it holds together like this you place a tray over it .
<19>	(117.087-122.170)	unaweka na moto <sta> unaweka na moto inakuwa na -- na hii imetengenea %incomplete	you put fire you put fire it becomes and -- and this is ready to be used %incomplete
<20>	(122.170-131.345)	<int> nilipata muuliza Jane pamoja na upatikanaji wa maandalizi magumu ya Chikanda hakuna faida gani inayo patikana <breath> katika kuuza nyama hii ya kienyeji ?	I got the questioner Jane together with the availability of difficult preparations of chikanda there is no what benefits to be got when you sell this traditional meat ?
<21>	(131.345-131.740)	<no-speech>	<no-speech>
<22>	(131.740-134.116)	<sta> mi ni Nzuri wa Chikanda .	I am Nzuri of chikanda .
<23>	(134.116-140.140)	nikinunua debe natarajia elfu themanini au elfu sabini na kidogo .	when I buy one container I expect eighty thousand or seventy thousand and less .
<24>	(140.140-143.250)	na sasa tusikie utamu wake ukoje ?	and now let's hear how is its sweetness ?
<25>	(143.250-145.739)	na namna wateja wanavyo kipenda Chikanda .	and the way the customers love chikanda .
<26>	(145.739-152.655)	<sta> utamu wa Chikanda hauelezeki labda ule uone mwenyewe maana utamu wake <sta> -- ukweli Chikanda ni tamu sana .	the sweetness of chikanda is inexplicable maybe that you find out yourself the meaning of its sweetness -- truly chikanda is very sweet .
<27>	(152.655-153.930)	<no-speech>	<no-speech>
<28>	(153.930-158.307)	Chikanda utamu wake <sta> ukiweka karanga ukila ndiyo inakuwa mtamu .	chikanda its sweetness if you put groundnuts then it becomes sweet when you eat it .
<29>	(158.307-159.946)	kula na ugali .	eat with garlic .
<30>	(159.946-172.230)	Alishon Kibona ni afisa mgani wa kata ya Matai wilayani Kalambo pamoja na kukiri kuwa bado hafahamu aina ya mizizi inayo tengeneza Chikanda lakini atakiri faida kubwa wanayopata wauzaji wake .	Alishon Kibona is a new officer of the Matai ward the district of Kalambo together and admitted still she don't understand the type of root that makes chikanda but will approves the large amount of profits that the sellers are getting .
<31>	(172.230-178.729)	<sta> sado ya mahindi tunanunua mia nane lakini sado ya Chikanda wananunua <sta> elfu saba <no-speech> mpaka elfu kumi .	one container of maize we buy at eight hundred but one container of chikanda they buy at seven thousand up to ten thousand .
<32>	(178.729-183.260)	hii ni mboga ambayo ni nyama ya kabila maarufu sana na (()) katika mkoa wa Rukwa .	this is a vegetable which is meat for a very popular tribe and (()) in the Rukwa province .
<33>	(183.260-192.260)	<sta> inayo patikana <no-speech> ambayo bei yake tunajua kwamba ni zaidi -- mara ishirini zaidi ya debe moja la mahindi ambacho kikiuzwa na wamama wengi sana katika mkoa wa Rukwa .	that is available which its price we know that is more -- twenty times more than that of one container of maize which when sold by very many women in the Rukwa province .
<34>	(192.260-194.357)	<no-speech>	<no-speech>
