<1>	Hisa za DCB zapata sh24.59 robo ya tatu 2016	DCB shares gain of 24.59 shillings in the third quarter of 2016
<2>	Nov 24, 2016 by Mwandishi Wetu in Uchumi na Biashara	24th November 2016 by our writer in economy and business
<3>	BENKI ya biashara ya DCB imepata kiasi cha shilingi 24.59 kwa kila hisa katika robo ya tatu ya mwaka huu iliyoishia Septemba.	DCB business bank has received an amount of 24.59 shillings on every share in the third quarter this year that ended in September.
<4>	DCB ilikuwa ni benki ya kwanza nchini kuorodhesha hisa zake kwenye soko la hisa na hadi hivi sasa ina hisa 67,827,897 zilizokwishauzwa kwa wawekezaji mbalimbali.	DCB was the first bank in the country to list its shares on the stock exchange market and up to now it has 67,827,897 that were sold to various investors.
<5>	Idadi hiyo ya hisa iliongezeka kutoka hisa 38,546,791 za mwaka 2012, baada ya benki hiyo kuuza hisa za upendeleo kwa wanahisa wake ambapo kila mwanahisa alipewa nafasi ya kuongeza umiliki; ikiwa pia ni mkakati wa kuongeza mtaji.	that amount of shares increased from 38,546,791 shares in 2012, after the bank sold shares on favor to its shareholders, where each shareholder was given an opportunity to increase possession, where it is also a strategy for increasing capital.
<6>	Benki hiyo ambayo iliorodheshwa kwenye soko la hisa la Dar es Salaam (DSE) Septemba mwaka 2008 imeendelea kufanya vizuri kwenye soko ambapo imekuwa ni miongoni mwa kampuni za ndani ambazo kaunta zake ziko hai kila wakati.	the bank which was listed on the Dar es Salaam's stock exchange (DSE) in September 2008 has continued performing well in the market, where it has been among the internal companies whose counters are always alive.
<7>	Kwa mujibu wa ripoti ya hesabu za benki hiyo za robo ya tatu ya mwaka huu pato hilo ni kidogo ikilinganishwa na pato la shilingi 41.53 kwa hisa zilizopatikana kwenye robo ya tatu ya mwaka jana.	according to the banks third quarter financial reports for this year, that income is small compared to 41.53 shillings income per share that was realized in the third quarter last year.
<8>	Katika kipindi cha mwaka jana, benki hiyo ilitoa gawio la shilingi 22 kwa hisa kutoka shilingi 27 zilizotolewa mwaka 2014, ikiwa ni pungufu ya asilimia 18.52.	in last year's period, the bank gave 22 shillings per share, down from 27 shillings that were given in the year 2014, which was an 18.52 percent decrease.
<9>	Ripoti zilizokaguliwa zilionyesha kwamba benki hiyo ilipata faida ya shilingi bilioni 5.1 mwaka jana kutoka shilingi bilioni 5.2 za mwaka 2014.	audited reports showed that the bank registered a 5.1 billion shillings profit last year, down from 5.2 billion shillings for the year 2014.
<10>	Ripoti hiyo imeonyesha kwamba katika robo ya tatu ya mwaka huu, kiasi cha faida ya shilingi milioni 247.3 ikilinganishwa na shilingi milioni 929.14 zilizopatikana katika kipindi kama hicho cha mwaka jana.	that report has shown that in the third quarter of this year, a profit of 247.3 million shillings compared to 929.14 million shillings was realized in the same period of last year.
<11>	Kwa mujibu wa soko la hisa, hadi kufikia mwanzoni mwa wiki hii, bei ya DCB Commercial bank ilikuwa ni shilingi 430 kutoka kiwango chake cha juu kabisa cha shilingi 640 za mwezi Julai mwaka 2015.	according to the stock exchange, up to the beginning of this week, the price of DCB commercial bank was 430 shillings, down from its highest point of 640 shillings of the month of July the year 2015.
<12>	Hata hivyo, pamoja na kushuka kwa bei, thamani ya hisa hizo bado haijashuka, kwani wakati wa kuorodheshwa bei yake ilikuwa ni shilingi 240.	however, together with the reduction of the price, the value of the shares has not reduced, since at the time of listing its price was 240 shillings.
<13>	Katika kipindi cha wiki iliyopita, jumla ya hisa 14,407 za benki hiyo ziliuzwa na kununuliwa kwenye soko na bei ya kufunga ikiwa shilingi 430, ambazo ni karibia mara mbili ya bei ya awali.	in the period of last week, a total of 14,407 of the bank's shares were traded on the market and the closing stock was 430 shillings, which is almost twice the initial price.
