<1>	Mwananchi anavyobebeshwa kodi 12 za bei ya petroli nchini	how a citizen is charged 12 taxes for the cost of petrol in the country
<2>	Elias Msuya, Mwananchi Dar es Salaam.	Elias Msuya, citizen, Dar es Salaam.
<3>	Mzigo wa kodi 12 zinazotozwa na mamlaka mbalimbali, ikiwamo Mamlaka ya Mapato Tanzania (TRA), ndiyo sababu kuu ya bei ya dizeli na petroli kuendelea kuwa juu nchini licha ya kushuka kwenye soko la dunia.	the burden of 12 taxes charged by different authorities, including the Tanzania Revenue Authority (TRA), is the main reason for diesel and petrol prices to keep going up in the country despite a price decline in the world market.
<4>	Mamlaka ya Udhibiti wa Huduma ya Nishati na Maji (Ewura) kesho itatangaza bei mpya za nishati hiyo, ikiwa ni utaratibu wake wa kila mwezi kuweka bei elekezi kwa kuzingatia hali ilivyokuwa kwenye soko la dunia katika kipindi cha miezi mitatu iliyopita wakati shehena iliyoko sokoni kwa sasa ilipokuwa inaagizwa.	the Energy and Water Utilities Regulatory Authorities (Ewura) will announce tomorrow the new price of the energy, as its monthly program to set price guidelines depends on how the situation was in the world market for a period of the previous three months when the shipment that is currently in the market was being ordered.
<5>	Mbali na bei ya mafuta kwenye soko la dunia, Ewura hukokotoa bei kwa kuzingatia gharama kama za usafirishaji na mchango wa nishati hiyo kwenye sekta nyingine.	besides prices of fuel in the world market, Ewura calculates prices with respect to costs such as transportation and the contribution of that energy to other sectors.
<6>	Ofisa habari wa Ewura, Titus Kaguo aliliambia Mwananchi kwamba ukokotoaji wa bei ya mafuta kwa soko la ndani huzingatia mambo mengi hasa kodi na tozo mbalimbali na kwamba kwa kiasi kikubwa kinachoongeza bei ni tozo na kodi za Serikali.	Ewura communications officer, Titus Kaguo, told Mwananchi that calculations of fuel prices for the local market considers so many things especially taxes and various charges that on a large scale what increases the price is government charges and taxes.
<7>	Mitandao inaonyesha kuwa bei ya mafuta ghafi katika soko la dunia imekuwa ikishuka kwa kasi na hivyo kutoa unafuu wa bei katika masoko ya ndani ya nchi mbalimbali.	networks show that the price of crude oil in the world market has been steady and thus providing fairer prices in local markets in various countries.
<8>	Kushuka kwa bei kumeshuhudiwa tangu Januari 2009 na katika miaka ya hivi karibuni tangu Septemba 2014 mafuta ghafi yalipokuwa yakiuzwa Dola za Marekani 115 kwa pipa hadi kuwa chini ya Dola 40 Januari mwaka huu ikiwa na maana bei imeporomoka kwa zaidi ya Dola 60.	the drop in prices has been witnessed since January 2009 in recent years where, in September 2014, crude oil was being sold for 115 American dollars per barrel to less than 40 dollars in January this year, meaning the price has decreased by over 60 dollars.
<9>	Hata hivyo, bei ya petroli nchini ilishuka kutoka Sh2,267 Septemba 2014 hadi kufikia Sh1,898 Januari 2016 ikiwa ni pungufu kwa Sh369 kwa lita na bei ya dizeli ilishuka kutoka kiwango cha juu zaidi cha Sh2,149 Aprili 2014 hadi kufikia Sh1,747 Januari 2016 ikiwa imepungua kwa Sh402 kwa lita.	however, the price of petrol in the country reduced from 2,267 shillings from September 2014 to 1,898 January 2016, a reduction of 369 shillings per liter and the price of diesel decreased greatly by 2,149 shillings April 2014 to 1,747 shillings January 2016 a reduction of 402 shillings per liter.
<10>	Alipoulizwa hivi karibuni kuhusu ukokotoaji wa bei za mafuta nchini, mkurugenzi mkuu wa Ewura, Felix Ngamlagosi alianza kuzungumzia bei katika soko la dunia.	when he was asked recently about calculations of fuel prices in the country, the chief director for Ewura, Felix Ngamlagosi, started talking about prices in the world market.
<11>	“Bei zinazoonyeshwa kwenye mitandao mbalimbali ni za mafuta ghafi ambayo yakisafishwa hutoa petroli, dizeli, mafuta ya taa na ndege, gesi ya kupikia, oil na lami.	"prices shown on different networks are for crude oil which when refined gives petrol, diesel, kerosene, cooking gas and tar.
<12>	Ewura inaweka bei hizi kwa kuangalia bei halisi ya mafuta yaliyosafishwa na si mafuta ghafi,” alisema Ngalamgosi.	Ewura sets these prices by looking at the actual prices of refined oil and not crude oil," said Ngalamgosi.
