query1443	club association match competition
MATERIAL_BASE-1A_19820992	0.079
MATERIAL_BASE-1A_37036357	0.074
MATERIAL_BASE-1A_14390845	0.074
MATERIAL_BASE-1A_72471089	0.073
MATERIAL_BASE-1A_73625522	0.062
MATERIAL_BASE-1A_32057496	0.058
MATERIAL_BASE-1A_46941564	0.051
MATERIAL_BASE-1A_42475112	0.047
MATERIAL_BASE-1A_38802284	0.046
MATERIAL_BASE-1A_72825976	0.045
MATERIAL_BASE-1A_82104481	0.045
MATERIAL_BASE-1A_51068091	0.044
MATERIAL_BASE-1A_19011412	0.042
MATERIAL_BASE-1A_63340468	0.040
MATERIAL_BASE-1A_66063385	0.040
MATERIAL_BASE-1A_60911133	0.038
MATERIAL_BASE-1A_37418492	0.037
MATERIAL_BASE-1A_37901502	0.037
MATERIAL_BASE-1A_93146931	0.035
MATERIAL_BASE-1A_31482565	0.034
