query3977	hub focal point commerce buying and selling
MATERIAL_BASE-1A_76423086	0.067
MATERIAL_BASE-1A_82104481	0.066
MATERIAL_BASE-1A_61233220	0.062
MATERIAL_BASE-1A_94655912	0.059
MATERIAL_BASE-1A_24288736	0.053
MATERIAL_BASE-1A_40721739	0.049
MATERIAL_BASE-1A_58369212	0.049
MATERIAL_BASE-1A_12473437	0.048
MATERIAL_BASE-1A_10162778	0.047
MATERIAL_BASE-1A_38244746	0.047
MATERIAL_BASE-1A_34425733	0.047
MATERIAL_BASE-1A_97722327	0.047
MATERIAL_BASE-1A_22912945	0.046
MATERIAL_BASE-1A_78240722	0.046
MATERIAL_BASE-1A_22237197	0.045
MATERIAL_BASE-1A_10243049	0.045
MATERIAL_BASE-1A_62795180	0.045
MATERIAL_BASE-1A_74243531	0.045
MATERIAL_BASE-1A_65705807	0.044
MATERIAL_BASE-1A_79884789	0.044
