query3721	orphan school
MATERIAL_BASE-1A_68520913	0.110
MATERIAL_BASE-1A_25235580	0.093
MATERIAL_BASE-1A_12473437	0.089
MATERIAL_BASE-1A_53270745	0.072
MATERIAL_BASE-1A_40037828	0.065
MATERIAL_BASE-1A_28405120	0.049
MATERIAL_BASE-1A_57246772	0.048
MATERIAL_BASE-1A_55687529	0.047
MATERIAL_BASE-1A_27197380	0.046
MATERIAL_BASE-1A_66896248	0.046
MATERIAL_BASE-1A_19165752	0.042
MATERIAL_BASE-1A_43295964	0.039
MATERIAL_BASE-1A_50599196	0.037
MATERIAL_BASE-1A_23568883	0.033
MATERIAL_BASE-1A_58118717	0.033
MATERIAL_BASE-1A_89640844	0.032
MATERIAL_BASE-1A_90970735	0.032
MATERIAL_BASE-1A_10760160	0.030
MATERIAL_BASE-1A_70841827	0.030
MATERIAL_BASE-1A_82104481	0.029
