query1335	bring change
MATERIAL_BASE-1A_34405704	0.085
MATERIAL_BASE-1A_31387205	0.076
MATERIAL_BASE-1A_87897451	0.061
MATERIAL_BASE-1A_65307927	0.061
MATERIAL_BASE-1A_20843292	0.060
MATERIAL_BASE-1A_73625522	0.058
MATERIAL_BASE-1A_12823998	0.058
MATERIAL_BASE-1A_61233220	0.054
MATERIAL_BASE-1A_49332224	0.053
MATERIAL_BASE-1A_70841827	0.051
MATERIAL_BASE-1A_76165586	0.045
MATERIAL_BASE-1A_74659642	0.039
MATERIAL_BASE-1A_11031173	0.038
MATERIAL_BASE-1A_92855114	0.038
MATERIAL_BASE-1A_63603614	0.038
MATERIAL_BASE-1A_60333495	0.038
MATERIAL_BASE-1A_16157501	0.038
MATERIAL_BASE-1A_11185119	0.037
MATERIAL_BASE-1A_33280688	0.037
MATERIAL_BASE-1A_43223857	0.036
