query409	business commerce poverty
MATERIAL_BASE-1A_94655912	0.136
MATERIAL_BASE-1A_58369212	0.072
MATERIAL_BASE-1A_24288736	0.071
MATERIAL_BASE-1A_40721739	0.061
MATERIAL_BASE-1A_38244746	0.055
MATERIAL_BASE-1A_12473437	0.048
MATERIAL_BASE-1A_10162778	0.044
MATERIAL_BASE-1A_97722327	0.043
MATERIAL_BASE-1A_46297290	0.042
MATERIAL_BASE-1A_34425733	0.042
MATERIAL_BASE-1A_62795180	0.040
MATERIAL_BASE-1A_22912945	0.040
MATERIAL_BASE-1A_78240722	0.039
MATERIAL_BASE-1A_23739926	0.039
MATERIAL_BASE-1A_22237197	0.039
MATERIAL_BASE-1A_28835867	0.039
MATERIAL_BASE-1A_15451912	0.038
MATERIAL_BASE-1A_74243531	0.038
MATERIAL_BASE-1A_10243049	0.037
MATERIAL_BASE-1A_65811352	0.036
