query2011	peace harmony Muslim
MATERIAL_BASE-1A_55190800	0.071
MATERIAL_BASE-1A_13519611	0.063
MATERIAL_BASE-1A_14390845	0.062
MATERIAL_BASE-1A_10675424	0.059
MATERIAL_BASE-1A_91378159	0.054
MATERIAL_BASE-1A_66574648	0.052
MATERIAL_BASE-1A_88549032	0.051
MATERIAL_BASE-1A_48919698	0.050
MATERIAL_BASE-1A_25779019	0.049
MATERIAL_BASE-1A_87457377	0.048
MATERIAL_BASE-1A_15374596	0.047
MATERIAL_BASE-1A_70841827	0.047
MATERIAL_BASE-1A_91273579	0.045
MATERIAL_BASE-1A_41171885	0.044
MATERIAL_BASE-1A_54214322	0.044
MATERIAL_BASE-1A_19510344	0.043
MATERIAL_BASE-1A_31089786	0.043
MATERIAL_BASE-1A_44221425	0.043
MATERIAL_BASE-1A_45685353	0.043
MATERIAL_BASE-1A_42599002	0.043
