query1014	building constructing Ummy Mwalimu
MATERIAL_BASE-1A_70841827	0.096
MATERIAL_BASE-1A_66460699	0.091
MATERIAL_BASE-1A_49198372	0.081
MATERIAL_BASE-1A_50015895	0.079
MATERIAL_BASE-1A_38244746	0.072
MATERIAL_BASE-1A_81250472	0.065
MATERIAL_BASE-1A_26544875	0.064
MATERIAL_BASE-1A_82601227	0.064
MATERIAL_BASE-1A_23739926	0.060
MATERIAL_BASE-1A_17014807	0.057
MATERIAL_BASE-1A_63603614	0.057
MATERIAL_BASE-1A_19510344	0.056
MATERIAL_BASE-1A_24474003	0.055
MATERIAL_BASE-1A_89640844	0.053
MATERIAL_BASE-1A_68520913	0.050
