query1023	letter condolences
MATERIAL_BASE-1A_59358742	0.158
MATERIAL_BASE-1A_54124763	0.109
MATERIAL_BASE-1A_46297290	0.105
MATERIAL_BASE-1A_48843423	0.072
MATERIAL_BASE-1A_15631153	0.066
MATERIAL_BASE-1A_82053578	0.060
MATERIAL_BASE-1A_23739926	0.042
MATERIAL_BASE-1A_57639803	0.032
MATERIAL_BASE-1A_56806568	0.032
MATERIAL_BASE-1A_72433504	0.031
MATERIAL_BASE-1A_64570381	0.031
MATERIAL_BASE-1A_90691044	0.031
MATERIAL_BASE-1A_74772281	0.030
MATERIAL_BASE-1A_70427032	0.030
MATERIAL_BASE-1A_25235580	0.029
MATERIAL_BASE-1A_44001031	0.029
MATERIAL_BASE-1A_41665746	0.029
MATERIAL_BASE-1A_49332224	0.029
MATERIAL_BASE-1A_87549824	0.028
MATERIAL_BASE-1A_25144823	0.028
