query1885	talent ability artist
MATERIAL_BASE-1A_72471089	0.123
MATERIAL_BASE-1A_60911133	0.096
MATERIAL_BASE-1A_79112156	0.070
MATERIAL_BASE-1A_38802284	0.068
MATERIAL_BASE-1A_79194796	0.064
MATERIAL_BASE-1A_91324835	0.061
MATERIAL_BASE-1A_46696867	0.060
MATERIAL_BASE-1A_28835867	0.053
MATERIAL_BASE-1A_48919698	0.041
MATERIAL_BASE-1A_25235580	0.040
MATERIAL_BASE-1A_49269898	0.034
MATERIAL_BASE-1A_92958986	0.034
MATERIAL_BASE-1A_14390845	0.033
MATERIAL_BASE-1A_65705807	0.033
MATERIAL_BASE-1A_38976938	0.032
MATERIAL_BASE-1A_68520913	0.032
MATERIAL_BASE-1A_91378159	0.032
MATERIAL_BASE-1A_55477175	0.031
MATERIAL_BASE-1A_94894105	0.031
MATERIAL_BASE-1A_16126086	0.031
