query1444	pipes water conduit pressure physical force
MATERIAL_BASE-1A_93836436	0.076
MATERIAL_BASE-1A_61925806	0.069
MATERIAL_BASE-1A_71538357	0.060
MATERIAL_BASE-1A_62642453	0.053
MATERIAL_BASE-1A_24474003	0.050
MATERIAL_BASE-1A_11704412	0.048
MATERIAL_BASE-1A_35861865	0.048
MATERIAL_BASE-1A_96893212	0.048
MATERIAL_BASE-1A_32872788	0.047
MATERIAL_BASE-1A_41731928	0.047
MATERIAL_BASE-1A_27197380	0.047
MATERIAL_BASE-1A_52871788	0.047
MATERIAL_BASE-1A_28498880	0.046
MATERIAL_BASE-1A_82104481	0.046
MATERIAL_BASE-1A_99590356	0.046
MATERIAL_BASE-1A_90058259	0.045
MATERIAL_BASE-1A_95514504	0.044
MATERIAL_BASE-1A_14542977	0.044
MATERIAL_BASE-1A_12422908	0.044
MATERIAL_BASE-1A_79504607	0.044
