query3636	private part genitalia
MATERIAL_BASE-1A_14600448	0.062
MATERIAL_BASE-1A_19510344	0.062
MATERIAL_BASE-1A_76742962	0.057
MATERIAL_BASE-1A_37097817	0.057
MATERIAL_BASE-1A_46668005	0.053
MATERIAL_BASE-1A_46696867	0.050
MATERIAL_BASE-1A_10760160	0.049
MATERIAL_BASE-1A_82601227	0.049
MATERIAL_BASE-1A_71538357	0.049
MATERIAL_BASE-1A_33898207	0.048
MATERIAL_BASE-1A_43023949	0.048
MATERIAL_BASE-1A_25368752	0.047
MATERIAL_BASE-1A_58369212	0.047
MATERIAL_BASE-1A_28472880	0.047
MATERIAL_BASE-1A_19165752	0.046
MATERIAL_BASE-1A_30660622	0.046
MATERIAL_BASE-1A_54613934	0.046
MATERIAL_BASE-1A_36989926	0.046
MATERIAL_BASE-1A_31503968	0.045
MATERIAL_BASE-1A_87549824	0.045
