query1639	Ugandan person from Uganda
MATERIAL_BASE-1A_15897597	0.128
MATERIAL_BASE-1A_52161474	0.124
MATERIAL_BASE-1A_10476119	0.042
MATERIAL_BASE-1A_26582755	0.042
MATERIAL_BASE-1A_76712667	0.042
MATERIAL_BASE-1A_14056912	0.042
MATERIAL_BASE-1A_54613934	0.042
MATERIAL_BASE-1A_57453956	0.042
MATERIAL_BASE-1A_57261500	0.042
MATERIAL_BASE-1A_24039807	0.042
MATERIAL_BASE-1A_77097070	0.042
MATERIAL_BASE-1A_50692594	0.041
MATERIAL_BASE-1A_47779406	0.041
MATERIAL_BASE-1A_67774353	0.041
MATERIAL_BASE-1A_44221425	0.041
MATERIAL_BASE-1A_70962493	0.041
MATERIAL_BASE-1A_34425733	0.041
MATERIAL_BASE-1A_99865805	0.041
MATERIAL_BASE-1A_87789799	0.041
MATERIAL_BASE-1A_28405120	0.041
