query1858	national symbol
MATERIAL_BASE-1A_11704412	0.053
MATERIAL_BASE-1A_25368752	0.052
MATERIAL_BASE-1A_91422638	0.051
MATERIAL_BASE-1A_30660622	0.051
MATERIAL_BASE-1A_23555478	0.051
MATERIAL_BASE-1A_95514504	0.050
MATERIAL_BASE-1A_82053578	0.050
MATERIAL_BASE-1A_20861542	0.050
MATERIAL_BASE-1A_37114089	0.050
MATERIAL_BASE-1A_29528824	0.050
MATERIAL_BASE-1A_15897597	0.050
MATERIAL_BASE-1A_26544875	0.049
MATERIAL_BASE-1A_37809135	0.049
MATERIAL_BASE-1A_82601227	0.049
MATERIAL_BASE-1A_74694153	0.049
MATERIAL_BASE-1A_55477175	0.049
MATERIAL_BASE-1A_43223857	0.049
MATERIAL_BASE-1A_26719783	0.049
MATERIAL_BASE-1A_17073926	0.049
MATERIAL_BASE-1A_51962538	0.049
