query1904	Red Cross aid organization
MATERIAL_BASE-1A_68222225	0.131
MATERIAL_BASE-1A_25235580	0.127
MATERIAL_BASE-1A_24057909	0.042
MATERIAL_BASE-1A_74828012	0.042
MATERIAL_BASE-1A_85372217	0.042
MATERIAL_BASE-1A_49198372	0.041
MATERIAL_BASE-1A_60333495	0.041
MATERIAL_BASE-1A_48808420	0.041
MATERIAL_BASE-1A_77539357	0.041
MATERIAL_BASE-1A_47779406	0.041
MATERIAL_BASE-1A_88124077	0.041
MATERIAL_BASE-1A_78553378	0.041
MATERIAL_BASE-1A_47434611	0.041
MATERIAL_BASE-1A_89281477	0.041
MATERIAL_BASE-1A_57086308	0.041
MATERIAL_BASE-1A_67296133	0.041
MATERIAL_BASE-1A_63340468	0.041
MATERIAL_BASE-1A_34172750	0.041
MATERIAL_BASE-1A_49149053	0.041
MATERIAL_BASE-1A_62196869	0.041
