query493	transportation boat vessel
MATERIAL_BASE-1A_58369212	0.102
MATERIAL_BASE-1A_62795180	0.092
MATERIAL_BASE-1A_19510344	0.062
MATERIAL_BASE-1A_47237540	0.053
MATERIAL_BASE-1A_41665746	0.052
MATERIAL_BASE-1A_54742603	0.045
MATERIAL_BASE-1A_71378392	0.045
MATERIAL_BASE-1A_87549824	0.045
MATERIAL_BASE-1A_67501969	0.045
MATERIAL_BASE-1A_57639803	0.044
MATERIAL_BASE-1A_35861865	0.044
MATERIAL_BASE-1A_70841827	0.044
MATERIAL_BASE-1A_72547287	0.043
MATERIAL_BASE-1A_15407245	0.043
MATERIAL_BASE-1A_11804760	0.043
MATERIAL_BASE-1A_33341861	0.041
MATERIAL_BASE-1A_99082541	0.040
MATERIAL_BASE-1A_99865805	0.039
MATERIAL_BASE-1A_36274860	0.039
MATERIAL_BASE-1A_51068091	0.038
