query1997	city council
MATERIAL_BASE-1A_25144823	0.070
MATERIAL_BASE-1A_82053578	0.067
MATERIAL_BASE-1A_51398897	0.063
MATERIAL_BASE-1A_99865805	0.054
MATERIAL_BASE-1A_73309893	0.054
MATERIAL_BASE-1A_38140359	0.052
MATERIAL_BASE-1A_24678965	0.052
MATERIAL_BASE-1A_80409260	0.051
MATERIAL_BASE-1A_87457377	0.048
MATERIAL_BASE-1A_56901456	0.047
MATERIAL_BASE-1A_14390845	0.047
MATERIAL_BASE-1A_28835867	0.045
MATERIAL_BASE-1A_96697502	0.045
MATERIAL_BASE-1A_22237197	0.044
MATERIAL_BASE-1A_15897597	0.044
MATERIAL_BASE-1A_23739926	0.044
MATERIAL_BASE-1A_37114089	0.044
MATERIAL_BASE-1A_43023949	0.044
MATERIAL_BASE-1A_69915673	0.043
MATERIAL_BASE-1A_23362016	0.043
