query1725	sister sibling morning
MATERIAL_BASE-1A_47432424	0.113
MATERIAL_BASE-1A_55687529	0.087
MATERIAL_BASE-1A_90970735	0.084
MATERIAL_BASE-1A_85018500	0.062
MATERIAL_BASE-1A_64399138	0.058
MATERIAL_BASE-1A_24644915	0.048
MATERIAL_BASE-1A_94268944	0.047
MATERIAL_BASE-1A_25144823	0.046
MATERIAL_BASE-1A_77097070	0.044
MATERIAL_BASE-1A_49458765	0.042
MATERIAL_BASE-1A_79884789	0.041
MATERIAL_BASE-1A_27764637	0.040
MATERIAL_BASE-1A_47368930	0.038
MATERIAL_BASE-1A_64352803	0.037
MATERIAL_BASE-1A_17468854	0.036
MATERIAL_BASE-1A_82544593	0.036
MATERIAL_BASE-1A_58225939	0.036
MATERIAL_BASE-1A_74694153	0.036
MATERIAL_BASE-1A_38312182	0.035
MATERIAL_BASE-1A_26070053	0.035
