query1421	the most important thing
MATERIAL_BASE-1A_14390845	0.056
MATERIAL_BASE-1A_71538357	0.053
MATERIAL_BASE-1A_19165752	0.053
MATERIAL_BASE-1A_23739926	0.053
MATERIAL_BASE-1A_68520913	0.053
MATERIAL_BASE-1A_12823998	0.053
MATERIAL_BASE-1A_32872788	0.052
MATERIAL_BASE-1A_52561001	0.051
MATERIAL_BASE-1A_63322712	0.051
MATERIAL_BASE-1A_63198962	0.050
MATERIAL_BASE-1A_90699367	0.048
MATERIAL_BASE-1A_82601227	0.048
MATERIAL_BASE-1A_99423388	0.048
MATERIAL_BASE-1A_88549032	0.048
MATERIAL_BASE-1A_64399138	0.047
MATERIAL_BASE-1A_33280688	0.047
MATERIAL_BASE-1A_23555478	0.047
MATERIAL_BASE-1A_64942041	0.047
MATERIAL_BASE-1A_64163392	0.047
MATERIAL_BASE-1A_73625522	0.047
