query1691	king monarch song
MATERIAL_BASE-1A_11704412	0.052
MATERIAL_BASE-1A_91422638	0.051
MATERIAL_BASE-1A_95514504	0.051
MATERIAL_BASE-1A_82053578	0.051
MATERIAL_BASE-1A_37114089	0.050
MATERIAL_BASE-1A_20861542	0.050
MATERIAL_BASE-1A_74694153	0.050
MATERIAL_BASE-1A_12823998	0.050
MATERIAL_BASE-1A_82601227	0.050
MATERIAL_BASE-1A_37809135	0.050
MATERIAL_BASE-1A_24678965	0.050
MATERIAL_BASE-1A_96816965	0.050
MATERIAL_BASE-1A_30660622	0.050
MATERIAL_BASE-1A_17073926	0.050
MATERIAL_BASE-1A_63198014	0.050
MATERIAL_BASE-1A_62223615	0.050
MATERIAL_BASE-1A_32057496	0.050
MATERIAL_BASE-1A_74243531	0.050
MATERIAL_BASE-1A_26719783	0.050
MATERIAL_BASE-1A_59997334	0.049
