query2031	property land bank
MATERIAL_BASE-1A_28835867	0.184
MATERIAL_BASE-1A_95514504	0.093
MATERIAL_BASE-1A_46714252	0.072
MATERIAL_BASE-1A_43223857	0.051
MATERIAL_BASE-1A_93836436	0.050
MATERIAL_BASE-1A_96697502	0.049
MATERIAL_BASE-1A_71538357	0.047
MATERIAL_BASE-1A_51962538	0.042
MATERIAL_BASE-1A_22237197	0.041
MATERIAL_BASE-1A_11804760	0.040
MATERIAL_BASE-1A_96816965	0.037
MATERIAL_BASE-1A_94202804	0.035
MATERIAL_BASE-1A_14044621	0.034
MATERIAL_BASE-1A_15451912	0.033
MATERIAL_BASE-1A_37901502	0.033
MATERIAL_BASE-1A_50015895	0.033
MATERIAL_BASE-1A_24474003	0.033
MATERIAL_BASE-1A_29906443	0.031
MATERIAL_BASE-1A_32872788	0.031
MATERIAL_BASE-1A_37097817	0.030
