query2000	deputy mayor
MATERIAL_BASE-1A_63198962	0.075
MATERIAL_BASE-1A_15631153	0.073
MATERIAL_BASE-1A_91273579	0.061
MATERIAL_BASE-1A_55651868	0.061
MATERIAL_BASE-1A_76712667	0.060
MATERIAL_BASE-1A_67137459	0.058
MATERIAL_BASE-1A_78240722	0.058
MATERIAL_BASE-1A_66398346	0.058
MATERIAL_BASE-1A_80486223	0.056
MATERIAL_BASE-1A_74772281	0.054
MATERIAL_BASE-1A_65811352	0.054
MATERIAL_BASE-1A_77539357	0.038
MATERIAL_BASE-1A_87897451	0.038
MATERIAL_BASE-1A_49171088	0.037
MATERIAL_BASE-1A_39785873	0.037
MATERIAL_BASE-1A_36274860	0.037
MATERIAL_BASE-1A_46941564	0.036
MATERIAL_BASE-1A_53494682	0.036
MATERIAL_BASE-1A_56722528	0.036
MATERIAL_BASE-1A_79504607	0.036
