query1408	picture photograph hotel
MATERIAL_BASE-1A_53494682	0.081
MATERIAL_BASE-1A_49385897	0.073
MATERIAL_BASE-1A_57086308	0.057
MATERIAL_BASE-1A_31503968	0.054
MATERIAL_BASE-1A_35855388	0.053
MATERIAL_BASE-1A_19906241	0.052
MATERIAL_BASE-1A_60911133	0.049
MATERIAL_BASE-1A_31089786	0.046
MATERIAL_BASE-1A_78553378	0.046
MATERIAL_BASE-1A_44221425	0.045
MATERIAL_BASE-1A_40303921	0.045
MATERIAL_BASE-1A_45685353	0.045
MATERIAL_BASE-1A_36450212	0.045
MATERIAL_BASE-1A_16927363	0.045
MATERIAL_BASE-1A_17191110	0.045
MATERIAL_BASE-1A_43944430	0.045
MATERIAL_BASE-1A_29988166	0.044
MATERIAL_BASE-1A_37809135	0.044
MATERIAL_BASE-1A_23555478	0.043
MATERIAL_BASE-1A_62795180	0.043
