query1495	pregnant child birth neighbor
MATERIAL_BASE-1A_89722172	0.071
MATERIAL_BASE-1A_90058259	0.067
MATERIAL_BASE-1A_29001248	0.067
MATERIAL_BASE-1A_56912929	0.064
MATERIAL_BASE-1A_49269898	0.063
MATERIAL_BASE-1A_25144823	0.061
MATERIAL_BASE-1A_42599002	0.058
MATERIAL_BASE-1A_67137459	0.056
MATERIAL_BASE-1A_63978652	0.055
MATERIAL_BASE-1A_65705807	0.052
MATERIAL_BASE-1A_25235580	0.043
MATERIAL_BASE-1A_68520913	0.043
MATERIAL_BASE-1A_12473437	0.041
MATERIAL_BASE-1A_46337253	0.039
MATERIAL_BASE-1A_53270745	0.038
MATERIAL_BASE-1A_57246772	0.037
MATERIAL_BASE-1A_40037828	0.037
MATERIAL_BASE-1A_38976938	0.036
MATERIAL_BASE-1A_50599196	0.036
MATERIAL_BASE-1A_27197380	0.036
