query3309	name given name girl person
MATERIAL_BASE-1A_76742962	0.087
MATERIAL_BASE-1A_43643062	0.064
MATERIAL_BASE-1A_69668848	0.062
MATERIAL_BASE-1A_72471089	0.052
MATERIAL_BASE-1A_94655912	0.052
MATERIAL_BASE-1A_97722327	0.050
MATERIAL_BASE-1A_51475592	0.049
MATERIAL_BASE-1A_78553378	0.049
MATERIAL_BASE-1A_74694153	0.048
MATERIAL_BASE-1A_85018500	0.047
MATERIAL_BASE-1A_78240722	0.047
MATERIAL_BASE-1A_78019674	0.046
MATERIAL_BASE-1A_29528824	0.046
MATERIAL_BASE-1A_36274860	0.045
MATERIAL_BASE-1A_70182706	0.045
MATERIAL_BASE-1A_57371250	0.044
MATERIAL_BASE-1A_14600448	0.042
MATERIAL_BASE-1A_86900404	0.042
MATERIAL_BASE-1A_14493866	0.042
MATERIAL_BASE-1A_75722874	0.041
