query1719	back anatomy
MATERIAL_BASE-1A_27764637	0.146
MATERIAL_BASE-1A_19510344	0.091
MATERIAL_BASE-1A_31416816	0.086
MATERIAL_BASE-1A_70182706	0.077
MATERIAL_BASE-1A_60755386	0.070
MATERIAL_BASE-1A_28835867	0.050
MATERIAL_BASE-1A_83566294	0.045
MATERIAL_BASE-1A_37809135	0.045
MATERIAL_BASE-1A_14390845	0.043
MATERIAL_BASE-1A_46696867	0.041
MATERIAL_BASE-1A_40303921	0.032
MATERIAL_BASE-1A_96279348	0.032
MATERIAL_BASE-1A_40696184	0.032
MATERIAL_BASE-1A_36274860	0.031
MATERIAL_BASE-1A_53650158	0.031
MATERIAL_BASE-1A_94398864	0.030
MATERIAL_BASE-1A_49269898	0.030
MATERIAL_BASE-1A_64570381	0.030
MATERIAL_BASE-1A_25285246	0.029
MATERIAL_BASE-1A_51398897	0.029
