query1631	face visage earth world
MATERIAL_BASE-1A_26865490	0.064
MATERIAL_BASE-1A_54124763	0.062
MATERIAL_BASE-1A_76165586	0.061
MATERIAL_BASE-1A_61233220	0.059
MATERIAL_BASE-1A_31503968	0.054
MATERIAL_BASE-1A_52547417	0.054
MATERIAL_BASE-1A_12422908	0.053
MATERIAL_BASE-1A_11183004	0.053
MATERIAL_BASE-1A_61925806	0.052
MATERIAL_BASE-1A_64399138	0.051
MATERIAL_BASE-1A_19011412	0.051
MATERIAL_BASE-1A_89640844	0.050
MATERIAL_BASE-1A_24644915	0.049
MATERIAL_BASE-1A_21216361	0.048
MATERIAL_BASE-1A_67515483	0.045
MATERIAL_BASE-1A_99189068	0.041
MATERIAL_BASE-1A_48807239	0.039
MATERIAL_BASE-1A_61219675	0.039
MATERIAL_BASE-1A_15374596	0.038
MATERIAL_BASE-1A_65811352	0.038
