query2933	increase become greater price monetary value
MATERIAL_BASE-1A_31387205	0.064
MATERIAL_BASE-1A_28835867	0.056
MATERIAL_BASE-1A_98721812	0.053
MATERIAL_BASE-1A_56722528	0.052
MATERIAL_BASE-1A_57371250	0.052
MATERIAL_BASE-1A_93836436	0.052
MATERIAL_BASE-1A_64942041	0.052
MATERIAL_BASE-1A_72935017	0.049
MATERIAL_BASE-1A_34172750	0.048
MATERIAL_BASE-1A_29299604	0.048
MATERIAL_BASE-1A_58225939	0.048
MATERIAL_BASE-1A_19820992	0.048
MATERIAL_BASE-1A_38312182	0.048
MATERIAL_BASE-1A_16126086	0.047
MATERIAL_BASE-1A_77261521	0.047
MATERIAL_BASE-1A_72433504	0.047
MATERIAL_BASE-1A_83566294	0.047
MATERIAL_BASE-1A_44727963	0.047
MATERIAL_BASE-1A_15631153	0.047
MATERIAL_BASE-1A_64163392	0.047
