query1419	small group party politics
MATERIAL_BASE-1A_67515483	0.073
MATERIAL_BASE-1A_71378392	0.061
MATERIAL_BASE-1A_24678965	0.061
MATERIAL_BASE-1A_31416816	0.058
MATERIAL_BASE-1A_27764637	0.054
MATERIAL_BASE-1A_49458765	0.050
MATERIAL_BASE-1A_70414618	0.049
MATERIAL_BASE-1A_93605104	0.048
MATERIAL_BASE-1A_82342690	0.048
MATERIAL_BASE-1A_63322712	0.047
MATERIAL_BASE-1A_10162778	0.047
MATERIAL_BASE-1A_87897451	0.047
MATERIAL_BASE-1A_45546706	0.047
MATERIAL_BASE-1A_15711451	0.045
MATERIAL_BASE-1A_10675424	0.045
MATERIAL_BASE-1A_78019674	0.045
MATERIAL_BASE-1A_50322071	0.044
MATERIAL_BASE-1A_46856990	0.044
MATERIAL_BASE-1A_14044621	0.044
MATERIAL_BASE-1A_79504607	0.043
