query728	guest of honor
MATERIAL_BASE-1A_31482565	0.088
MATERIAL_BASE-1A_58225364	0.070
MATERIAL_BASE-1A_79191269	0.066
MATERIAL_BASE-1A_91378159	0.064
MATERIAL_BASE-1A_39589867	0.054
MATERIAL_BASE-1A_27764637	0.054
MATERIAL_BASE-1A_59997334	0.052
MATERIAL_BASE-1A_20838881	0.052
MATERIAL_BASE-1A_25285246	0.050
MATERIAL_BASE-1A_90113579	0.050
MATERIAL_BASE-1A_63198014	0.049
MATERIAL_BASE-1A_93605104	0.047
MATERIAL_BASE-1A_40037828	0.046
MATERIAL_BASE-1A_76165586	0.039
MATERIAL_BASE-1A_25368752	0.038
MATERIAL_BASE-1A_10675424	0.038
MATERIAL_BASE-1A_52547417	0.036
MATERIAL_BASE-1A_85462874	0.036
MATERIAL_BASE-1A_12422908	0.036
MATERIAL_BASE-1A_49269898	0.035
